yield_strength_MPa,elongation_pct,charpy_temp_C
427.0,34.6,-42.0
500.0,28.0,11.0
434.0,29.8,-67.0
515.0,26.0,0.0
592.0,22.8,28.0
489.0,27.0,51.0
372.0,31.4,-81.0
365.0,30.4,-56.0
483.0,25.2,-22.0
399.0,32.2,-56.0
553.0,22.0,-31.0
479.0,27.4,-38.0
521.0,28.4,-38.0
527.0,26.0,-60.0
381.0,30.4,-49.0
402.0,18.0,7.0
441.0,16.0,34.0
523.0,30.0,-5.0
466.0,29.0,37.0
370.0,35.2,-32.0
577.0,21.6,-15.0
398.0,32.2,-54.0
413.0,31.2,-44.0
443.0,31.8,-51.0
410.0,34.8,-47.0
450.0,28.8,-14.0
427.0,29.2,-12.0
486.0,28.6,-41.0
351.0,31.6,-54.0
498.0,16.0,16.0
584.0,26.6,56.0
372.0,31.4,-81.0
411.0,33.6,-40.0
436.0,31.6,-58.0
479.0,27.4,-36.0
414.0,29.2,-71.0
471.0,27.8,-57.0
474.0,29.4,-61.0
329.0,36.4,-54.0
370.0,35.2,-38.0
370.0,35.2,-30.0
570.0,24.0,-2.0
414.0,29.2,-71.0
605.0,19.8,-3.0
542.0,19.0,-7.0
638.0,17.2,4.0
493.0,18.0,-6.0
458.0,25.6,-28.0
419.0,33.4,-61.0
471.0,26.2,-31.0
402.0,31.0,-44.0
429.0,27.4,-57.0
546.0,21.0,55.0
415.0,24.6,-38.0
429.0,22.0,-15.0
484.0,23.0,-4.0
359.0,29.4,-80.0
521.0,26.0,1.0
522.0,30.0,-11.0
583.0,22.6,-27.0
447.0,30.4,-55.0
523.0,25.6,-59.0
479.0,27.4,-40.0
455.0,28.4,-67.0
539.0,25.0,-41.0
460.0,28.8,-35.0
414.0,29.2,-71.0
333.0,30.4,-53.0
603.0,19.8,8.0
448.0,32.0,-50.0
538.0,25.4,-40.0
411.0,30.6,-24.0
542.0,26.6,-39.0
375.0,32.4,-56.0
436.0,31.6,-49.0
451.0,24.4,-27.0
381.0,31.6,-51.0
478.0,27.2,-51.0
574.0,22.6,-36.0
413.0,27.0,-60.0
372.0,31.4,-81.0
446.0,32.2,-57.0
402.0,31.0,-44.0
481.0,29.1,-44.0
462.0,31.0,-28.0
492.0,25.2,-41.0
371.0,34.2,-36.0
372.0,30.5,-66.0
548.0,26.0,-17.0
431.0,32.2,-41.0
470.0,30.2,-20.0
390.0,34.8,-31.0
525.0,29.6,-37.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
-1.0,-1.0,-1.0
