feature,importance
pwht_time_h,0.09630137630651756
current_A,0.07826886968629913
carbon_wt_pct,0.06509641165605383
voltage_V,0.06284611478725684
oxygen_ppm,0.05644397752140166
heat_input_kJmm,0.0564333947240514
chromium_wt_pct,0.052740883861551575
nitrogen_ppm,0.0463602568320244
weld_type_SA,0.04346060807326682
vanadium_wt_pct,0.04329880354532993
molybdenum_wt_pct,0.04226067816743579
niobium_ppm,0.040066982277298456
manganese_wt_pct,0.03829558829351885
pwht_temp_C,0.03693972673443774
titanium_ppm,0.03495559505582513
phosphorus_wt_pct,0.031773838159831834
sulfur_wt_pct,0.029199168013296768
silicon_wt_pct,0.028304568800862333
nickel_wt_pct,0.02622561236616759
interpass_temp_C,0.026106385197916575
weld_type_MMA,0.018100799876705202
aluminium_ppm,0.016928056119705485
copper_wt_pct,0.01065682331150792
current_type_DC,0.006617833179571696
weld_type_FCA,0.003591448569422243
electrode_polarity_+,0.0032337002809752833
electrode_polarity_0,0.0016017007436389665
weld_type_TSA,0.0015411603382578104
electrode_polarity_-,0.0011549764413233145
current_type_AC,0.0005976938757349944
weld_type_ShMA,0.0005790596451824172
weld_type_NGSAW,1.7907557630618316e-05
weld_type_GMAA,0.0
weld_type_GTAA,0.0
weld_type_NGGMA,0.0
weld_type_SAA,0.0
