kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.3,0.5613254876895819,10.0
knn,,2000,0.2,0.5551280194647356,10.0
knn,,2000,0.2,0.5518872879163745,7.0
knn,,2000,0.5,0.5518872879163745,7.0
knn,,2000,0.3,0.5518872879163745,7.0
knn,,2000,0.5,0.5491318667613297,10.0
knn,,2000,0.1,0.547321142840607,7.0
knn,,2000,0.1,0.5434823441021788,10.0
knn,,2000,0.5,0.5153746147919877,5.0
knn,,2000,0.3,0.5032492302499143,5.0
knn,,2000,0.2,0.5032492302499143,5.0
knn,,2000,0.1,0.5032492302499143,5.0
knn,,2000,0.3,0.4698201665548357,3.0
knn,,2000,0.1,0.46485178891720946,3.0
knn,,2000,0.5,0.46419852418771373,3.0
rbf,5.0,2000,0.3,0.46215306991416566,
knn,,2000,0.2,0.45887670234685163,3.0
rbf,50.0,2000,0.3,0.45209966800875895,
rbf,5.0,2000,0.2,0.452079885439167,
rbf,5.0,2000,0.1,0.452079885439167,
rbf,10.0,2000,0.3,0.44700413223140495,
rbf,5.0,2000,0.5,0.4465800976122077,
rbf,30.0,2000,0.3,0.4452279687669298,
rbf,20.0,2000,0.3,0.4401788151788152,
rbf,30.0,2000,0.5,0.4361860810647873,
rbf,50.0,2000,0.5,0.4361860810647873,
rbf,10.0,2000,0.5,0.43116702695082126,
rbf,10.0,2000,0.2,0.43116702695082126,
rbf,10.0,2000,0.1,0.43116702695082126,
rbf,50.0,2000,0.2,0.42935783064287736,
rbf,50.0,2000,0.1,0.42935783064287736,
rbf,30.0,2000,0.2,0.42935783064287736,
rbf,30.0,2000,0.1,0.42935783064287736,
rbf,20.0,2000,0.5,0.42438515871815063,
rbf,20.0,2000,0.2,0.42438515871815063,
rbf,20.0,2000,0.1,0.42438515871815063,
