param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7863583259954415,0.08289298689001044,5
50,10,4,log2,,0.7664629127401894,0.08281240378396203,21
50,5,1,log2,15,0.778009830255049,0.07993434352222986,14
50,10,2,sqrt,,0.7830476057880477,0.0790066512151064,9
50,10,2,sqrt,5,0.7121040019259537,0.0659869041766741,29
50,5,1,sqrt,15,0.7808361095667932,0.09063610070462841,13
200,2,4,sqrt,,0.7739879689912105,0.09272311787198932,17
100,2,4,sqrt,10,0.7694116585700103,0.07537364589334039,19
100,10,2,log2,,0.7816832446424137,0.07166443277394408,11
100,5,1,log2,15,0.7837804922305422,0.07936080566138945,7
50,10,4,log2,15,0.764440215182299,0.08164533737578838,22
50,5,1,log2,5,0.7218029081146539,0.06794031347194103,24
100,2,1,log2,,0.7950844819972671,0.08264726168810144,1
50,2,2,sqrt,5,0.7099429054397057,0.060838025105520846,30
100,5,2,sqrt,10,0.7875478802487407,0.07915785316527126,3
200,5,2,sqrt,,0.7864843876123998,0.08744811593140636,4
100,2,2,sqrt,,0.7810760303413975,0.09042610463291585,12
50,2,4,sqrt,5,0.7123727963856549,0.06315671838619653,28
100,2,4,log2,15,0.771025438929728,0.07846503495619153,18
50,5,2,sqrt,10,0.7836948180155847,0.07541383905026874,8
50,10,4,sqrt,,0.7749454179641052,0.08055522812602565,15
100,10,1,log2,15,0.7881466192768928,0.07480067016407277,2
100,10,4,sqrt,10,0.7749345251318971,0.08112261394547579,16
100,10,4,sqrt,5,0.713582794795931,0.06734959906957123,27
200,5,4,log2,10,0.7625830263302958,0.0820647498512663,23
200,2,2,log2,15,0.7818646634908784,0.08759572400556576,10
200,10,4,log2,15,0.768196519645416,0.07951399938816803,20
100,10,2,sqrt,5,0.7168435119541477,0.06678600783053029,26
50,2,4,log2,5,0.7193273044246912,0.06801881342450637,25
100,2,2,log2,,0.7858293735606555,0.08592797701540685,6
