param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7467170778755082,0.0834579441298258,13
50,10,4,log2,,0.7372506684995783,0.071351022935803,20
50,5,1,log2,15,0.7552826863854292,0.07331523138588608,8
50,10,2,sqrt,,0.7552328590281582,0.07878281890787356,9
50,10,2,sqrt,5,0.6943911388675502,0.0653099125953487,24
50,5,1,sqrt,15,0.7619665991130712,0.07976017461169971,1
200,2,4,sqrt,,0.7393429492754763,0.07841933319584259,17
100,2,4,sqrt,10,0.7412375360231179,0.07580307966380849,15
100,10,2,log2,,0.7462649106967096,0.08328568580515457,14
100,5,1,log2,15,0.7547621528567663,0.0781495895985992,10
50,10,4,log2,15,0.7382369575342406,0.07448066465454685,18
50,5,1,log2,5,0.6750713591107563,0.04977680559878488,29
100,2,1,log2,,0.7488318695560218,0.06851561273167442,12
50,2,2,sqrt,5,0.6935909177341832,0.0628426099231802,25
100,5,2,sqrt,10,0.755461077320981,0.07078345527988167,7
200,5,2,sqrt,,0.7593486109934314,0.08027468192463606,2
100,2,2,sqrt,,0.7587136869297355,0.07980340955255757,3
50,2,4,sqrt,5,0.6860389851368428,0.0583882868363954,26
100,2,4,log2,15,0.7357289150668769,0.07783590850294479,22
50,5,2,sqrt,10,0.751979292006722,0.06959369962544741,11
50,10,4,sqrt,,0.7393736363423824,0.083076825143692,16
100,10,1,log2,15,0.7569393827595968,0.07069587262415085,5
100,10,4,sqrt,10,0.7357401719550589,0.0759471960915401,21
100,10,4,sqrt,5,0.6776517383438853,0.05335309574227923,28
200,5,4,log2,10,0.7345525465656602,0.06891304756534115,23
200,2,2,log2,15,0.757214613153823,0.07841267393169964,4
200,10,4,log2,15,0.7375860459526365,0.07294151177055605,19
100,10,2,sqrt,5,0.6809973318699051,0.05167493390317543,27
50,2,4,log2,5,0.6643050376492644,0.04618201935459285,30
100,2,2,log2,,0.7565008100009917,0.07322014603830734,6
