param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7614555095482666,0.11646290258569436,6
50,10,4,log2,,0.7599658622753642,0.10814486325311165,10
50,5,1,log2,15,0.7482818496160947,0.11699845509569645,22
50,10,2,sqrt,,0.7621547991696714,0.11259465277700145,5
50,10,2,sqrt,5,0.742191571968109,0.0930638193002501,24
50,5,1,sqrt,15,0.7512502521437172,0.11712194691610817,21
200,2,4,sqrt,,0.7599742440209162,0.10745860805683904,9
100,2,4,sqrt,10,0.7533772420048258,0.11098312321951807,19
100,10,2,log2,,0.7629420252047722,0.11204530421789421,3
100,5,1,log2,15,0.7524273592049827,0.1149661237773222,20
50,10,4,log2,15,0.7645801172480269,0.11133243507697316,1
50,5,1,log2,5,0.7354305317177768,0.09884899299000058,28
100,2,1,log2,,0.7482730964726239,0.11403662322645702,23
50,2,2,sqrt,5,0.7355739958298257,0.10332259161859451,27
100,5,2,sqrt,10,0.7641786226044425,0.10640458768064762,2
200,5,2,sqrt,,0.756009535981332,0.11139991656638829,15
100,2,2,sqrt,,0.7540560594999826,0.11469750226548077,18
50,2,4,sqrt,5,0.7405453915852013,0.0951002493403457,25
100,2,4,log2,15,0.7612498261519366,0.10966186281030334,7
50,5,2,sqrt,10,0.7565034538114205,0.11417358150256152,14
50,10,4,sqrt,,0.7623954637774625,0.11457350715449967,4
100,10,1,log2,15,0.7556136108762406,0.11011800520028027,17
100,10,4,sqrt,10,0.7577214696907578,0.110497456463665,12
100,10,4,sqrt,5,0.7357158628014681,0.09535271454834268,26
200,5,4,log2,10,0.755672264266893,0.10545587924409904,16
200,2,2,log2,15,0.7595321884389281,0.108223891147025,11
200,10,4,log2,15,0.760250112573733,0.10869028767893764,8
100,10,2,sqrt,5,0.7351110663632756,0.09472036318683652,29
50,2,4,log2,5,0.7342882273859543,0.09670169602881264,30
100,2,2,log2,,0.7576015007972309,0.10859769963038964,13
