kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.1,0.5651435999163941,7.0
knn,,2000,0.3,0.5601948148158294,7.0
knn,,2000,0.2,0.5533816676327518,7.0
knn,,2000,0.5,0.548385898836563,7.0
knn,,2000,0.3,0.5473605665822646,10.0
knn,,2000,0.2,0.5473605665822646,10.0
knn,,2000,0.1,0.5473605665822646,10.0
knn,,2000,0.5,0.5425420435666338,5.0
knn,,2000,0.5,0.5404381592906183,10.0
knn,,2000,0.3,0.5364134258762359,5.0
knn,,2000,0.1,0.5305042669010391,5.0
knn,,2000,0.2,0.5305042669010391,5.0
rbf,20.0,2000,0.5,0.49264624264624257,
rbf,30.0,2000,0.1,0.4926395984530176,
rbf,30.0,2000,0.3,0.4926395984530176,
rbf,30.0,2000,0.5,0.4926395984530176,
rbf,10.0,2000,0.3,0.49255484636602725,
rbf,20.0,2000,0.3,0.4925400128141418,
rbf,20.0,2000,0.2,0.4925400128141418,
rbf,20.0,2000,0.1,0.4925400128141418,
rbf,10.0,2000,0.2,0.48619184295412216,
rbf,10.0,2000,0.1,0.48619184295412216,
knn,,2000,0.3,0.48612331127720415,3.0
rbf,10.0,2000,0.5,0.4815385164017114,
rbf,30.0,2000,0.2,0.4799883013047441,
knn,,2000,0.5,0.47581272962825716,3.0
rbf,5.0,2000,0.1,0.4741658430961546,
rbf,5.0,2000,0.2,0.4741658430961546,
rbf,5.0,2000,0.5,0.4741658430961546,
rbf,5.0,2000,0.3,0.4741658430961546,
rbf,50.0,2000,0.5,0.4633173124496402,
knn,,2000,0.2,0.46326357631504683,3.0
knn,,2000,0.1,0.45801878391460343,3.0
rbf,50.0,2000,0.1,0.45727763556836826,
rbf,50.0,2000,0.3,0.45162699076763746,
rbf,50.0,2000,0.2,0.45117727558818915,
