param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7982102958507674,0.10096799296839692,12
50,10,4,log2,,0.7874915766414272,0.08781255109937657,18
50,5,1,log2,15,0.8107231044267929,0.10050284234297625,2
50,10,2,sqrt,,0.8035510803604424,0.08478670333141963,9
50,10,2,sqrt,5,0.6793164378598284,0.08662353100586144,29
50,5,1,sqrt,15,0.8107231044267929,0.10050284234297625,2
200,2,4,sqrt,,0.7923960672802733,0.09872018129580552,14
100,2,4,sqrt,10,0.7887370726631359,0.08951171015962958,17
100,10,2,log2,,0.8040033353183952,0.09098677908915602,8
100,5,1,log2,15,0.8101254752493894,0.10583895781504013,4
50,10,4,log2,15,0.789009420663862,0.0872493567630251,15
50,5,1,log2,5,0.6939979522938757,0.09419079848529893,24
100,2,1,log2,,0.8117152617133696,0.10820152563466899,1
50,2,2,sqrt,5,0.6911309107432437,0.09258034123856511,25
100,5,2,sqrt,10,0.7938971052093317,0.09284408307070505,13
200,5,2,sqrt,,0.8006613231805536,0.10291044691955058,10
100,2,2,sqrt,,0.8074557327980423,0.09686096311083041,6
50,2,4,sqrt,5,0.6806587805326965,0.09086768743179609,27
100,2,4,log2,15,0.789000585009857,0.09335631265398057,16
50,5,2,sqrt,10,0.7781531984351995,0.08839933485594384,23
50,10,4,sqrt,,0.7874915766414272,0.08781255109937657,18
100,10,1,log2,15,0.7987487270178889,0.09418161439921036,11
100,10,4,sqrt,10,0.7860724484738527,0.0880820933490079,20
100,10,4,sqrt,5,0.6780180435425192,0.08648708305805716,30
200,5,4,log2,10,0.7849045465251215,0.08829393781454072,22
200,2,2,log2,15,0.807573459308481,0.10174704017957346,5
200,10,4,log2,15,0.7852408074612535,0.0977184640686704,21
100,10,2,sqrt,5,0.6828184301624304,0.08749366481166998,26
50,2,4,log2,5,0.6806587805326965,0.09086768743179609,27
100,2,2,log2,,0.8074557327980423,0.09686096311083041,6
