param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7920432948383622,0.09459318771894235,18
50,10,4,log2,,0.7903200002304832,0.07517941750929703,20
50,5,1,log2,15,0.796169310931658,0.08956904219544229,12
50,10,2,sqrt,,0.7935718020173788,0.0851722660961326,16
50,10,2,sqrt,5,0.6924803045888983,0.06622548669640715,26
50,5,1,sqrt,15,0.796169310931658,0.08956904219544229,12
200,2,4,sqrt,,0.7970196534053807,0.08685471694481803,10
100,2,4,sqrt,10,0.7843462563424707,0.07932909532531628,23
100,10,2,log2,,0.7976233357728185,0.08418634570973925,9
100,5,1,log2,15,0.8058597065004852,0.08935976165205968,3
50,10,4,log2,15,0.7902181820396659,0.0747503117437349,22
50,5,1,log2,5,0.6931328193591995,0.07918728891052922,25
100,2,1,log2,,0.79950712464781,0.0905305934498355,8
50,2,2,sqrt,5,0.6944189288576719,0.07382592987606412,24
100,5,2,sqrt,10,0.8003555711173815,0.08340833982077453,7
200,5,2,sqrt,,0.8076784245463396,0.09019119192870381,2
100,2,2,sqrt,,0.8025321086991077,0.0888471434604865,5
50,2,4,sqrt,5,0.6836458679455234,0.06917546244722657,28
100,2,4,log2,15,0.7910886642930945,0.08403345343141871,19
50,5,2,sqrt,10,0.7944357539767593,0.08415493507196459,14
50,10,4,sqrt,,0.7903200002304832,0.07517941750929703,20
100,10,1,log2,15,0.8049796012408649,0.08732138684400906,4
100,10,4,sqrt,10,0.792967806274168,0.07929081276253831,17
100,10,4,sqrt,5,0.6747909489323075,0.06898429811897208,30
200,5,4,log2,10,0.793866930531065,0.08616825191835062,15
200,2,2,log2,15,0.8115314802955335,0.09158562338275575,1
200,10,4,log2,15,0.7961959660398249,0.08433030625838955,11
100,10,2,sqrt,5,0.683956745406849,0.0743187181839507,27
50,2,4,log2,5,0.6836458679455234,0.06917546244722657,28
100,2,2,log2,,0.8025321086991077,0.0888471434604865,5
