param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7692565569315065,0.11472738527187466,22
50,10,4,log2,,0.7687582167787922,0.10924381153268813,23
50,5,1,log2,15,0.774076465934553,0.11401102719348198,13
50,10,2,sqrt,,0.769267203297962,0.11141539528906332,21
50,10,2,sqrt,5,0.770972459351207,0.12041748725195899,20
50,5,1,sqrt,15,0.774076465934553,0.11401102719348198,13
200,2,4,sqrt,,0.7800947157727496,0.11768291417770685,4
100,2,4,sqrt,10,0.774173911096068,0.1113317085318589,11
100,10,2,log2,,0.7762976301493248,0.11316960372885784,9
100,5,1,log2,15,0.7770440345210551,0.11307477770005363,8
50,10,4,log2,15,0.7687582167787922,0.10924381153268813,23
50,5,1,log2,5,0.7660860888513752,0.12564188705117113,26
100,2,1,log2,,0.7728072342769633,0.11694581728396769,16
50,2,2,sqrt,5,0.7711825082082506,0.12511420076658425,19
100,5,2,sqrt,10,0.7741937549465953,0.11339837009217034,10
200,5,2,sqrt,,0.780019599431904,0.11917613473146722,5
100,2,2,sqrt,,0.7815954535999329,0.11853111647661335,1
50,2,4,sqrt,5,0.7647162715721532,0.1116289077830739,27
100,2,4,log2,15,0.7741223770488487,0.11460937278116448,12
50,5,2,sqrt,10,0.7732770539043797,0.10937419917660003,15
50,10,4,sqrt,,0.7687582167787922,0.10924381153268813,23
100,10,1,log2,15,0.7806482375370862,0.11345990625749237,3
100,10,4,sqrt,10,0.7712938795227692,0.11079342567720171,18
100,10,4,sqrt,5,0.7629452082765908,0.12109915457564129,30
200,5,4,log2,10,0.7787891929271824,0.11505795429102122,6
200,2,2,log2,15,0.7785263782643298,0.11794256320573512,7
200,10,4,log2,15,0.7720764357320852,0.1147451826669467,17
100,10,2,sqrt,5,0.7643243587635075,0.12137887891570258,29
50,2,4,log2,5,0.7647162715721532,0.1116289077830739,27
100,2,2,log2,,0.7815954535999329,0.11853111647661335,1
