feature,importance
pwht_time_h,0.09141845512703523
pwht_temp_C,0.07395742061052735
phosphorus_wt_pct,0.06829076534977102
molybdenum_wt_pct,0.0681023305953053
heat_input_kJmm,0.06301832675118324
nitrogen_ppm,0.05749036477448331
oxygen_ppm,0.05239232179760969
carbon_wt_pct,0.050581500422754645
silicon_wt_pct,0.04775928942393304
manganese_wt_pct,0.0444460809161951
titanium_ppm,0.042677651476460514
current_A,0.03986132329570528
sulfur_wt_pct,0.03823161060082431
weld_type_SA,0.03542107023125904
interpass_temp_C,0.03505980142052071
aluminium_ppm,0.032248679350958355
copper_wt_pct,0.03025032419659039
voltage_V,0.029307952860116258
chromium_wt_pct,0.022194558139877134
vanadium_wt_pct,0.021664190358124218
nickel_wt_pct,0.021087736501420824
niobium_ppm,0.01102538823048814
current_type_DC,0.004819630949251467
weld_type_MMA,0.0043959360584643024
electrode_polarity_+,0.004037076342779081
weld_type_FCA,0.003212554465325535
weld_type_TSA,0.0019458595430479583
electrode_polarity_-,0.001368268100752627
weld_type_ShMA,0.0010421331473192367
weld_type_NGSAW,0.0009483219932132931
current_type_AC,0.0007138823025663282
electrode_polarity_0,0.0005896005052234747
weld_type_NGGMA,0.0003443178828335373
weld_type_GMAA,9.527627808020826e-05
weld_type_SAA,0.0
weld_type_GTAA,0.0
