kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.5,0.5958480988546544,5.0
knn,,2000,0.3,0.5926576045069936,5.0
knn,,2000,0.2,0.5926576045069936,5.0
knn,,2000,0.1,0.5667140998536347,5.0
knn,,2000,0.2,0.5655578028528848,7.0
knn,,2000,0.1,0.5652998200026096,7.0
knn,,2000,0.5,0.561708094772611,7.0
knn,,2000,0.1,0.5613297255673938,10.0
knn,,2000,0.3,0.5494897564682147,7.0
knn,,2000,0.2,0.5478714957057202,10.0
knn,,2000,0.5,0.5458931667002621,3.0
knn,,2000,0.5,0.5452843793816197,10.0
knn,,2000,0.3,0.5452843793816197,10.0
knn,,2000,0.1,0.5348756587615283,3.0
knn,,2000,0.2,0.5260009435009435,3.0
knn,,2000,0.3,0.5080128922801337,3.0
rbf,5.0,2000,0.1,0.47330189528471467,
rbf,5.0,2000,0.3,0.4685900455330507,
rbf,5.0,2000,0.5,0.4672954025480005,
rbf,5.0,2000,0.2,0.4620566753746942,
rbf,20.0,2000,0.1,0.4340892462467805,
rbf,10.0,2000,0.1,0.4340892462467805,
rbf,20.0,2000,0.3,0.4301495418343244,
rbf,10.0,2000,0.3,0.4301495418343244,
rbf,50.0,2000,0.1,0.42906059265119667,
rbf,10.0,2000,0.5,0.42840722495894906,
rbf,20.0,2000,0.5,0.42840722495894906,
rbf,50.0,2000,0.3,0.42521401993451685,
rbf,20.0,2000,0.2,0.4237474173553719,
rbf,10.0,2000,0.2,0.4237474173553719,
rbf,30.0,2000,0.1,0.42349241273421606,
rbf,50.0,2000,0.5,0.42349241273421606,
rbf,30.0,2000,0.3,0.41956836844015977,
rbf,50.0,2000,0.2,0.41893439397165183,
rbf,30.0,2000,0.5,0.41788419913419905,
rbf,30.0,2000,0.2,0.413269132797464,
