param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.820734472100532,0.07379046348280509,12
50,10,4,log2,,0.805436700396104,0.07432321908383809,22
50,5,1,log2,15,0.8323341850705196,0.07010384407739624,5
50,10,2,sqrt,,0.8124492981473012,0.0883102481031513,13
50,10,2,sqrt,5,0.7580585287885678,0.0756360342934308,25
50,5,1,sqrt,15,0.8239349270400783,0.06684899002889479,10
200,2,4,sqrt,,0.8109242179118024,0.0804765100151371,15
100,2,4,sqrt,10,0.8068068500219847,0.06811316600583969,20
100,10,2,log2,,0.8246217044856357,0.08279542011385205,9
100,5,1,log2,15,0.832477627053159,0.07020225920944831,4
50,10,4,log2,15,0.8084816805232692,0.07741463817319928,18
50,5,1,log2,5,0.7700017185026878,0.0578763140843608,24
100,2,1,log2,,0.8301996674937938,0.06078884194008592,8
50,2,2,sqrt,5,0.7576660283989192,0.08840490104522866,26
100,5,2,sqrt,10,0.8216839904461505,0.078848698011054,11
200,5,2,sqrt,,0.8351957022503322,0.06602938665405944,1
100,2,2,sqrt,,0.8334541507050983,0.06520127278634848,2
50,2,4,sqrt,5,0.7481763911380802,0.07671287971147306,29
100,2,4,log2,15,0.8097457811810028,0.07702532243124278,17
50,5,2,sqrt,10,0.810995489206133,0.07479118085367441,14
50,10,4,sqrt,,0.8033548781544962,0.0828133245446126,23
100,10,1,log2,15,0.8313951997171299,0.07631964161991465,7
100,10,4,sqrt,10,0.8071203871425898,0.08062993655565315,19
100,10,4,sqrt,5,0.7483783794577641,0.06523940281873797,28
200,5,4,log2,10,0.8056728166626312,0.07809750652120816,21
200,2,2,log2,15,0.8327431898435437,0.06483342655182332,3
200,10,4,log2,15,0.8101158976840744,0.07654271642659086,16
100,10,2,sqrt,5,0.7567742086696129,0.07271973588379368,27
50,2,4,log2,5,0.7443295535936888,0.05536044692248846,30
100,2,2,log2,,0.8320094552453646,0.06600339862947582,6
