param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8212156543825069,0.05996790094202683,8
50,10,4,log2,,0.7919790478035852,0.0678826393919708,21
50,5,1,log2,15,0.818030862126605,0.06306297305967623,9
50,10,2,sqrt,,0.8086886127898519,0.06701951226108395,14
50,10,2,sqrt,5,0.7391785372240797,0.061943819916589864,28
50,5,1,sqrt,15,0.8175734263582125,0.06037236663133016,10
200,2,4,sqrt,,0.8046482323519081,0.06405889232292307,15
100,2,4,sqrt,10,0.79300401751648,0.07378427619492006,20
100,10,2,log2,,0.81097567899203,0.0701517994730977,12
100,5,1,log2,15,0.8224481275114032,0.0603896051928736,6
50,10,4,log2,15,0.7939331841462255,0.06693312897993285,19
50,5,1,log2,5,0.7576443895187944,0.057965735420097184,24
100,2,1,log2,,0.825702024696206,0.05097454620848543,1
50,2,2,sqrt,5,0.7405150327203072,0.06081045610869223,27
100,5,2,sqrt,10,0.813562539394574,0.06802555591969403,11
200,5,2,sqrt,,0.8236799003118506,0.06384296065133988,3
100,2,2,sqrt,,0.8230939696172128,0.06451027043919191,5
50,2,4,sqrt,5,0.732013081160387,0.05286268766349601,30
100,2,4,log2,15,0.7944545205905097,0.06665654087962335,18
50,5,2,sqrt,10,0.8106606556718513,0.07023996982381556,13
50,10,4,sqrt,,0.791432291796245,0.06720726351625947,22
100,10,1,log2,15,0.8235353565170141,0.06481448998930385,4
100,10,4,sqrt,10,0.7952828967289974,0.07093817190944299,17
100,10,4,sqrt,5,0.73888230910362,0.053250990485011335,29
200,5,4,log2,10,0.7900027333928864,0.06977103667274226,23
200,2,2,log2,15,0.8220374777249834,0.06580183470581377,7
200,10,4,log2,15,0.7965083280827031,0.0773678675408062,16
100,10,2,sqrt,5,0.7438457849297748,0.04911898142585157,26
50,2,4,log2,5,0.7511007432993416,0.055097972630726716,25
100,2,2,log2,,0.8242846822188427,0.06752497357017104,2
