param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8206260026424813,0.07220099896934934,8
50,10,4,log2,,0.8243843252730677,0.08781817390793864,2
50,5,1,log2,15,0.8128275981342693,0.0689644119308754,25
50,10,2,sqrt,,0.8196288978676648,0.07765067337041384,9
50,10,2,sqrt,5,0.8181832047094545,0.09654614496705533,13
50,5,1,sqrt,15,0.813042931178288,0.06607907596209747,24
200,2,4,sqrt,,0.818199976344632,0.08837062283685065,12
100,2,4,sqrt,10,0.8133031428177618,0.08993784860864813,23
100,10,2,log2,,0.8170068609973636,0.07995464706568765,16
100,5,1,log2,15,0.8084300310100433,0.06842679125099363,28
50,10,4,log2,15,0.8183626764262583,0.08587572684699601,11
50,5,1,log2,5,0.8170181055721247,0.08800419939754257,15
100,2,1,log2,,0.8051600772735042,0.06755131919087028,30
50,2,2,sqrt,5,0.8164988954519968,0.09854222926258001,17
100,5,2,sqrt,10,0.8227449958525478,0.08027615958183658,3
200,5,2,sqrt,,0.8073489793057563,0.06931992839050344,29
100,2,2,sqrt,,0.8147478727619277,0.07276614511839202,21
50,2,4,sqrt,5,0.8160476808157994,0.09567481130329918,19
100,2,4,log2,15,0.8209587978644928,0.08429053136490619,4
50,5,2,sqrt,10,0.8248268454333454,0.08190089787590434,1
50,10,4,sqrt,,0.8209254672454028,0.0889008430107034,6
100,10,1,log2,15,0.8161192198324755,0.0720410911426305,18
100,10,4,sqrt,10,0.8209284336294366,0.08613164416718021,5
100,10,4,sqrt,5,0.8142312846155444,0.10019547223452062,22
200,5,4,log2,10,0.8191238962795658,0.08339780603487643,10
200,2,2,log2,15,0.8152120691017367,0.07467309603910623,20
200,10,4,log2,15,0.820896034457645,0.08419800145647048,7
100,10,2,sqrt,5,0.8173186928043186,0.09722783835405534,14
50,2,4,log2,5,0.8124146574207032,0.09468773791205932,26
100,2,2,log2,,0.8114772388058212,0.06997837528155876,27
