kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.3,0.6278543522861706,7.0
knn,,2000,0.5,0.6180370632971637,7.0
knn,,2000,0.2,0.6090443411757005,7.0
knn,,2000,0.1,0.6090443411757005,7.0
knn,,2000,0.2,0.6087643300034237,10.0
knn,,2000,0.1,0.6063483650736615,10.0
knn,,2000,0.5,0.601377793178592,10.0
knn,,2000,0.3,0.601377793178592,10.0
knn,,2000,0.5,0.5985815088685903,5.0
knn,,2000,0.3,0.5985815088685903,5.0
knn,,2000,0.2,0.5985815088685903,5.0
knn,,2000,0.1,0.5985815088685903,5.0
rbf,5.0,2000,0.5,0.5830815923207228,
knn,,2000,0.5,0.5718500421470719,3.0
rbf,5.0,2000,0.2,0.5711125717579523,
rbf,5.0,2000,0.1,0.5711125717579523,
rbf,5.0,2000,0.3,0.5711125717579523,
rbf,10.0,2000,0.5,0.5690251422348609,
rbf,10.0,2000,0.1,0.5690251422348609,
rbf,10.0,2000,0.2,0.5690251422348609,
rbf,10.0,2000,0.3,0.5690251422348609,
rbf,20.0,2000,0.3,0.5666830867020337,
rbf,20.0,2000,0.1,0.5666830867020337,
rbf,20.0,2000,0.5,0.5643428977375744,
rbf,30.0,2000,0.3,0.5619574040090345,
rbf,30.0,2000,0.1,0.5619574040090345,
rbf,20.0,2000,0.2,0.5571934962120384,
knn,,2000,0.2,0.5558982683982684,3.0
rbf,30.0,2000,0.5,0.5549761650180478,
rbf,30.0,2000,0.2,0.5525541912397354,
rbf,50.0,2000,0.3,0.551066898218061,
knn,,2000,0.3,0.5487345135682731,3.0
rbf,50.0,2000,0.1,0.5485391341636213,
rbf,50.0,2000,0.5,0.5416507177033493,
knn,,2000,0.1,0.5394611444411958,3.0
rbf,50.0,2000,0.2,0.539353575203866,
