param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8284754618183966,0.09038224397986204,13
50,10,4,log2,,0.8198874675203175,0.08702880086634819,22
50,5,1,log2,15,0.8236097169304646,0.08315087635885615,19
50,10,2,sqrt,,0.8299581453948854,0.08373898900787415,8
50,10,2,sqrt,5,0.7890661071113428,0.07417538328758123,26
50,5,1,sqrt,15,0.8236097169304646,0.08315087635885615,19
200,2,4,sqrt,,0.8290096838283213,0.08417961382213328,11
100,2,4,sqrt,10,0.8275448742854049,0.07943594369231222,15
100,10,2,log2,,0.8310488840086098,0.08219780349733342,7
100,5,1,log2,15,0.8283487340180996,0.08765064990314075,14
50,10,4,log2,15,0.8215227244277398,0.0884222805166508,21
50,5,1,log2,5,0.7916878101519814,0.07026143446145762,25
100,2,1,log2,,0.8237193096741211,0.08540938203951538,18
50,2,2,sqrt,5,0.7918551047012071,0.06997744576811513,24
100,5,2,sqrt,10,0.8352206987081642,0.09110812029205578,2
200,5,2,sqrt,,0.8334925407679911,0.09338117283337842,3
100,2,2,sqrt,,0.829339587079271,0.08698264007505849,9
50,2,4,sqrt,5,0.7822258781732755,0.07386039104340872,28
100,2,4,log2,15,0.8257895250830085,0.07822750499376709,16
50,5,2,sqrt,10,0.831597595808551,0.08476405790768894,6
50,10,4,sqrt,,0.8198874675203175,0.08702880086634819,22
100,10,1,log2,15,0.8412210211238526,0.08909590517563508,1
100,10,4,sqrt,10,0.8251023074808481,0.08076717168313989,17
100,10,4,sqrt,5,0.7815198916832838,0.06850323861573901,30
200,5,4,log2,10,0.8316513566794198,0.08512306004650871,5
200,2,2,log2,15,0.831790353110713,0.09094769448452768,4
200,10,4,log2,15,0.8288267757098139,0.0838342086345371,12
100,10,2,sqrt,5,0.7834734130614406,0.07232608286193257,27
50,2,4,log2,5,0.7822258781732755,0.07386039104340872,28
100,2,2,log2,,0.829339587079271,0.08698264007505849,9
