param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8235831048272658,0.0838103920738597,14
50,10,4,log2,,0.8199945162988227,0.07368139160938433,20
50,5,1,log2,15,0.8215629710751241,0.08473759941250725,15
50,10,2,sqrt,,0.8252087848310573,0.07047685790844604,12
50,10,2,sqrt,5,0.7855578484765612,0.06640195180243033,29
50,5,1,sqrt,15,0.8215629710751241,0.08473759941250725,15
200,2,4,sqrt,,0.8294934570225939,0.0711819157099562,8
100,2,4,sqrt,10,0.8281804280840626,0.07343006510685382,9
100,10,2,log2,,0.8356345425083033,0.07242739233801003,2
100,5,1,log2,15,0.8302083974855178,0.07740318900931546,6
50,10,4,log2,15,0.8207377005742172,0.07469466746495543,17
50,5,1,log2,5,0.7879665040186906,0.06357590220966212,25
100,2,1,log2,,0.8170373769480698,0.07719034034664192,23
50,2,2,sqrt,5,0.791878948240773,0.06944558307660252,24
100,5,2,sqrt,10,0.8340874204087579,0.075671062252623,3
200,5,2,sqrt,,0.8327572570661071,0.07183356608519911,4
100,2,2,sqrt,,0.8204683425213662,0.07526680256245491,18
50,2,4,sqrt,5,0.7867516585833454,0.06787547572671666,26
100,2,4,log2,15,0.8267560282001853,0.07619023356295829,11
50,5,2,sqrt,10,0.8198455099386934,0.08290954062300378,22
50,10,4,sqrt,,0.8199945162988227,0.07368139160938433,20
100,10,1,log2,15,0.8364708068214193,0.06435679187285874,1
100,10,4,sqrt,10,0.8245808550097987,0.07499234454719908,13
100,10,4,sqrt,5,0.7854376059521438,0.06296194352115117,30
200,5,4,log2,10,0.8311746946613557,0.07336227577916582,5
200,2,2,log2,15,0.8276537685916523,0.07009748100764708,10
200,10,4,log2,15,0.8301336741724801,0.0750364673701177,7
100,10,2,sqrt,5,0.785698702330827,0.060660017731903035,28
50,2,4,log2,5,0.7867516585833454,0.06787547572671666,26
100,2,2,log2,,0.8204683425213662,0.07526680256245491,18
