param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8198725157016167,0.08993248913614259,23
50,10,4,log2,,0.8263381854132205,0.10405963655315725,15
50,5,1,log2,15,0.8106587235103495,0.09912706403597257,29
50,10,2,sqrt,,0.8276580793179086,0.1079871171517123,13
50,10,2,sqrt,5,0.8232989609741939,0.11733304433178748,19
50,5,1,sqrt,15,0.8106587235103495,0.09912706403597257,29
200,2,4,sqrt,,0.8319063698321622,0.10154975121609307,6
100,2,4,sqrt,10,0.8308643971634101,0.1075293604634811,7
100,10,2,log2,,0.8319594886556646,0.10178636221747135,5
100,5,1,log2,15,0.8166170703015506,0.09393324724821081,27
50,10,4,log2,15,0.8255983939692682,0.10362011151786239,17
50,5,1,log2,5,0.8203004762205209,0.1244920948544716,22
100,2,1,log2,,0.8197677902755082,0.08590685018677646,24
50,2,2,sqrt,5,0.8152391497122765,0.12431165039534794,28
100,5,2,sqrt,10,0.8304448656173675,0.09977111059749987,8
200,5,2,sqrt,,0.8251357557268557,0.09918156104257524,18
100,2,2,sqrt,,0.8291800967490263,0.09338522710069129,10
50,2,4,sqrt,5,0.8187205441489481,0.11561432694376271,25
100,2,4,log2,15,0.8302822602484449,0.10184071914138838,9
50,5,2,sqrt,10,0.8271797962239127,0.10569279523896147,14
50,10,4,sqrt,,0.8263381854132205,0.10405963655315725,15
100,10,1,log2,15,0.8342755271459202,0.10296440983072394,2
100,10,4,sqrt,10,0.8352149207564105,0.10120720006683531,1
100,10,4,sqrt,5,0.8224523383263143,0.10371473899663665,20
200,5,4,log2,10,0.8322404603189506,0.10400665251211103,4
200,2,2,log2,15,0.8211273604786831,0.0964476292582162,21
200,10,4,log2,15,0.8338412137046195,0.10131692285743658,3
100,10,2,sqrt,5,0.8284181639249382,0.10716844273119108,12
50,2,4,log2,5,0.8187205441489481,0.11561432694376271,25
100,2,2,log2,,0.8291800967490263,0.09338522710069129,10
