param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8092746385962025,0.07410011286700578,6
50,10,4,log2,,0.7773970896610586,0.08459378758555053,17
50,5,1,log2,15,0.8149766503180129,0.07164630581975573,2
50,10,2,sqrt,,0.7906601770052565,0.07745895756334097,13
50,10,2,sqrt,5,0.6246429247206194,0.05078573166725071,30
50,5,1,sqrt,15,0.8149766503180129,0.07164630581975573,2
200,2,4,sqrt,,0.7827091221824486,0.09255527363634761,14
100,2,4,sqrt,10,0.7680574213143782,0.07717636602760503,21
100,10,2,log2,,0.7965900279394842,0.08016115675887947,11
100,5,1,log2,15,0.8145153080639721,0.08248778304972777,5
50,10,4,log2,15,0.7731506129198956,0.08377402641188646,20
50,5,1,log2,5,0.6415436718595827,0.05649288128262457,24
100,2,1,log2,,0.8222264523181404,0.08228905275402795,1
50,2,2,sqrt,5,0.6337144545085146,0.05779145902303297,26
100,5,2,sqrt,10,0.7782314096342838,0.06723649417635608,16
200,5,2,sqrt,,0.8145235152748,0.07679993357662405,4
100,2,2,sqrt,,0.8090795638380038,0.08466191349438816,7
50,2,4,sqrt,5,0.6305556808659861,0.06101349717459443,28
100,2,4,log2,15,0.7793298086498179,0.08717895180454831,15
50,5,2,sqrt,10,0.7909077360119373,0.07233726820092314,12
50,10,4,sqrt,,0.7773970896610586,0.08459378758555053,17
100,10,1,log2,15,0.7987099271161439,0.08711150596663865,10
100,10,4,sqrt,10,0.7484201546994703,0.0748107741448014,23
100,10,4,sqrt,5,0.633986669202587,0.057944873528812425,25
200,5,4,log2,10,0.7555629503618563,0.0883963467599576,22
200,2,2,log2,15,0.8088850045840378,0.08743706314646077,9
200,10,4,log2,15,0.7749381320235652,0.09086664255165086,19
100,10,2,sqrt,5,0.6326943425969943,0.05637515134604661,27
50,2,4,log2,5,0.6305556808659861,0.06101349717459443,28
100,2,2,log2,,0.8090795638380038,0.08466191349438816,7
