param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8147582830915238,0.04403288184359288,10
50,10,4,log2,,0.7865996388969153,0.02898182993392658,18
50,5,1,log2,15,0.8221994317159922,0.0441105698572837,6
50,10,2,sqrt,,0.8000263965216909,0.03667118818418863,13
50,10,2,sqrt,5,0.6792582353931937,0.05380737923288122,28
50,5,1,sqrt,15,0.8221994317159922,0.0441105698572837,6
200,2,4,sqrt,,0.7951527186213383,0.02168213867857602,16
100,2,4,sqrt,10,0.7773497735614456,0.019797454040656373,23
100,10,2,log2,,0.8073452224971353,0.04024835339625959,11
100,5,1,log2,15,0.8321625112864277,0.03962248475380082,1
50,10,4,log2,15,0.7851977869390256,0.0230015734304966,20
50,5,1,log2,5,0.6951796762439963,0.056610061437605545,24
100,2,1,log2,,0.828576109107689,0.04642412650105757,2
50,2,2,sqrt,5,0.6843440248902657,0.04334639954933605,25
100,5,2,sqrt,10,0.7993616179365329,0.03285949932147806,14
200,5,2,sqrt,,0.8219069524725663,0.041234344566299125,8
100,2,2,sqrt,,0.8225804879166922,0.04392373069262715,4
50,2,4,sqrt,5,0.6826222122006881,0.04783319431511151,26
100,2,4,log2,15,0.7968132046781901,0.02770035433375555,15
50,5,2,sqrt,10,0.8028562501674741,0.03414043678648631,12
50,10,4,sqrt,,0.7865996388969153,0.02898182993392658,18
100,10,1,log2,15,0.819805126888404,0.03729760237489216,9
100,10,4,sqrt,10,0.7794115155019443,0.02418737007257769,22
100,10,4,sqrt,5,0.6531781100399755,0.043639168635800286,30
200,5,4,log2,10,0.7802427693773267,0.01569576909463315,21
200,2,2,log2,15,0.8235943757991465,0.04248929972742244,3
200,10,4,log2,15,0.7900686414882759,0.024523779014290415,17
100,10,2,sqrt,5,0.6547027740168471,0.0461262331012361,29
50,2,4,log2,5,0.6826222122006881,0.04783319431511151,26
100,2,2,log2,,0.8225804879166922,0.04392373069262715,4
