param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.873120251102162,0.0857693019414913,4
50,10,4,log2,,0.8454334190532071,0.09668442311828349,21
50,5,1,log2,15,0.8771107741578646,0.08301119487141687,2
50,10,2,sqrt,,0.8602989426472006,0.09062835404088812,12
50,10,2,sqrt,5,0.791649647172105,0.08192718526386465,25
50,5,1,sqrt,15,0.8771107741578646,0.08301119487141687,2
200,2,4,sqrt,,0.8583745593978644,0.09683686724729079,13
100,2,4,sqrt,10,0.8469536541654011,0.09556640839124507,19
100,10,2,log2,,0.8628169181318767,0.09441755786969803,10
100,5,1,log2,15,0.865122300745753,0.09183152309673145,9
50,10,4,log2,15,0.8428270603336653,0.09122582442410516,23
50,5,1,log2,5,0.7909785222876123,0.07420635154663871,26
100,2,1,log2,,0.8785667384566032,0.09338104371865452,1
50,2,2,sqrt,5,0.7844200923553037,0.07658440645436264,30
100,5,2,sqrt,10,0.8572230653612464,0.0971671783939242,14
200,5,2,sqrt,,0.8694772168504734,0.0983782760640532,8
100,2,2,sqrt,,0.8699286104608689,0.09661394209796319,6
50,2,4,sqrt,5,0.7865290762070435,0.08528367078551502,28
100,2,4,log2,15,0.85676617249857,0.09750363812536945,15
50,5,2,sqrt,10,0.8557638798671,0.09509478796599286,16
50,10,4,sqrt,,0.8454334190532071,0.09668442311828349,21
100,10,1,log2,15,0.8602989723979574,0.102316367109823,11
100,10,4,sqrt,10,0.8455816586567323,0.1016043955125307,20
100,10,4,sqrt,5,0.7902029746794422,0.08305145538013814,27
200,5,4,log2,10,0.8491250548209401,0.09865095339045661,18
200,2,2,log2,15,0.8699644116104074,0.09456702271352402,5
200,10,4,log2,15,0.8549599137332372,0.09215060623821722,17
100,10,2,sqrt,5,0.7942178330666323,0.07731192778926564,24
50,2,4,log2,5,0.7865290762070435,0.08528367078551502,28
100,2,2,log2,,0.8699286104608689,0.09661394209796319,6
