kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
rbf,10.0,2000,0.3,0.6786554621848739,
rbf,10.0,2000,0.5,0.6786554621848739,
rbf,10.0,2000,0.2,0.6786112220419006,
rbf,30.0,2000,0.5,0.6722142779427079,
rbf,20.0,2000,0.3,0.6722142779427079,
rbf,10.0,2000,0.1,0.6717630288189547,
rbf,50.0,2000,0.3,0.6653656762144914,
rbf,50.0,2000,0.5,0.6653656762144914,
rbf,50.0,2000,0.2,0.6653656762144914,
rbf,20.0,2000,0.5,0.6653401301748011,
rbf,20.0,2000,0.1,0.6649536617829699,
rbf,20.0,2000,0.2,0.6649536617829699,
rbf,5.0,2000,0.2,0.6643445041804378,
rbf,5.0,2000,0.1,0.6643445041804378,
rbf,30.0,2000,0.3,0.658164042463901,
rbf,50.0,2000,0.1,0.658164042463901,
rbf,30.0,2000,0.1,0.658164042463901,
rbf,30.0,2000,0.2,0.658164042463901,
rbf,5.0,2000,0.3,0.6569683756775249,
rbf,5.0,2000,0.5,0.6512777702443103,
knn,,2000,0.1,0.6335749357025953,5.0
knn,,2000,0.3,0.6333858328958369,5.0
knn,,2000,0.2,0.6333858328958369,5.0
knn,,2000,0.5,0.6272475196421402,7.0
knn,,2000,0.5,0.6264699168784186,5.0
knn,,2000,0.1,0.6208892601875058,7.0
knn,,2000,0.2,0.6208892601875058,7.0
knn,,2000,0.3,0.6208892601875058,7.0
knn,,2000,0.5,0.579960752524493,3.0
knn,,2000,0.3,0.5792033653502918,3.0
knn,,2000,0.2,0.5709760425909495,3.0
knn,,2000,0.1,0.5709760425909495,3.0
knn,,2000,0.1,0.5515063168124392,10.0
knn,,2000,0.3,0.5510605926581159,10.0
knn,,2000,0.2,0.5450727448564109,10.0
knn,,2000,0.5,0.5179011935114364,10.0
