param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8492228894675974,0.18233116097226457,12
50,10,4,log2,,0.8383827749643104,0.177738136506822,21
50,5,1,log2,15,0.8515441254174881,0.1852194615499011,7
50,10,2,sqrt,,0.8504860906793074,0.1743329134765412,11
50,10,2,sqrt,5,0.7974275643337849,0.15445145564572177,28
50,5,1,sqrt,15,0.8515441254174881,0.1852194615499011,7
200,2,4,sqrt,,0.8455558135437524,0.1813344865922459,16
100,2,4,sqrt,10,0.8427599041452899,0.17637810017631728,18
100,10,2,log2,,0.8513630449226012,0.18549086029167206,10
100,5,1,log2,15,0.853817486334249,0.18196866369417278,5
50,10,4,log2,15,0.8391196031185433,0.17830138813841218,20
50,5,1,log2,5,0.8074157320795496,0.1558631209609401,24
100,2,1,log2,,0.8582170026602313,0.17420509910447213,3
50,2,2,sqrt,5,0.8053864195662336,0.1559491400649672,25
100,5,2,sqrt,10,0.8462914978009958,0.19111304050909095,15
200,5,2,sqrt,,0.851497729302519,0.18685139437586976,9
100,2,2,sqrt,,0.8597744679552485,0.18128789040583607,1
50,2,4,sqrt,5,0.802888539443797,0.1528638239286706,26
100,2,4,log2,15,0.8491170520298955,0.181036840286952,13
50,5,2,sqrt,10,0.852505670199179,0.17928332275471384,6
50,10,4,sqrt,,0.8383827749643104,0.177738136506822,21
100,10,1,log2,15,0.84800624881098,0.18559525748946448,14
100,10,4,sqrt,10,0.8368943159568175,0.17693471759241683,23
100,10,4,sqrt,5,0.7908977908315715,0.1514588286909007,29
200,5,4,log2,10,0.843337253317264,0.1784909172847332,17
200,2,2,log2,15,0.8561753345486149,0.1833376792720953,4
200,10,4,log2,15,0.8403220469476168,0.1841503939783627,19
100,10,2,sqrt,5,0.7895419528958071,0.1484345286119417,30
50,2,4,log2,5,0.802888539443797,0.1528638239286706,26
100,2,2,log2,,0.8597744679552485,0.18128789040583607,1
