param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8394622044407726,0.16078119072848066,6
50,10,4,log2,,0.8290612200038269,0.14999789524353865,14
50,5,1,log2,15,0.8505766726775041,0.152761108910247,1
50,10,2,sqrt,,0.8296246872455951,0.1587927051895799,13
50,10,2,sqrt,5,0.7473897941430284,0.1289614013220124,26
50,5,1,sqrt,15,0.8505766726775041,0.152761108910247,1
200,2,4,sqrt,,0.8283587548983115,0.1543434899570349,16
100,2,4,sqrt,10,0.8171630759141522,0.1537148607232605,22
100,10,2,log2,,0.8245777239497971,0.15984119050430826,20
100,5,1,log2,15,0.8460201623515239,0.15611149694582033,4
50,10,4,log2,15,0.8268551297813644,0.14845532873569336,19
50,5,1,log2,5,0.7488940398302527,0.12745303593924653,25
100,2,1,log2,,0.8491390813748915,0.15305095584379327,3
50,2,2,sqrt,5,0.7527798501088757,0.12528241642174578,24
100,5,2,sqrt,10,0.8325465614032151,0.15191679977518036,11
200,5,2,sqrt,,0.8360684131123991,0.1527343800425981,10
100,2,2,sqrt,,0.8386007376459507,0.1649545101777328,7
50,2,4,sqrt,5,0.7451553810171078,0.12158282857826064,27
100,2,4,log2,15,0.8270174712845982,0.15497280844026667,18
50,5,2,sqrt,10,0.8282851759181864,0.1453127261996889,17
50,10,4,sqrt,,0.8290612200038269,0.14999789524353865,14
100,10,1,log2,15,0.838599269686514,0.1492996161274347,9
100,10,4,sqrt,10,0.8125888601211916,0.1536135533488802,23
100,10,4,sqrt,5,0.7401556630210099,0.11040924746690343,30
200,5,4,log2,10,0.8236193223857052,0.15358937437859,21
200,2,2,log2,15,0.8394930116883383,0.15716997202207608,5
200,10,4,log2,15,0.8305665820883902,0.1482985589225569,12
100,10,2,sqrt,5,0.7410452623614705,0.1199478936158964,29
50,2,4,log2,5,0.7451553810171078,0.12158282857826064,27
100,2,2,log2,,0.8386007376459507,0.1649545101777328,7
