param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8610334157472335,0.17025351702917232,5
50,10,4,log2,,0.8442932502912047,0.178386064971418,19
50,5,1,log2,15,0.869358936285331,0.16929205786450882,1
50,10,2,sqrt,,0.8512730519481551,0.17624822993793796,14
50,10,2,sqrt,5,0.817773554906573,0.16942043229262288,26
50,5,1,sqrt,15,0.869358936285331,0.16929205786450882,1
200,2,4,sqrt,,0.8494319426844461,0.18041930829461816,16
100,2,4,sqrt,10,0.8434753086673489,0.17499373163611953,22
100,10,2,log2,,0.8517514853852739,0.17715110979557966,13
100,5,1,log2,15,0.8625362348487003,0.1742684093260053,4
50,10,4,log2,15,0.8442932502912047,0.178386064971418,19
50,5,1,log2,5,0.8231158042799772,0.1681028037349067,24
100,2,1,log2,,0.864408115273652,0.17317224342654788,3
50,2,2,sqrt,5,0.8228384250203268,0.16675762949630926,25
100,5,2,sqrt,10,0.8570606826070724,0.17111151577195033,11
200,5,2,sqrt,,0.8609631566066992,0.17805481600740372,6
100,2,2,sqrt,,0.8597492927461063,0.178214392939014,7
50,2,4,sqrt,5,0.8164451350056163,0.16667725899797273,27
100,2,4,log2,15,0.8512385889938449,0.18094015855644352,15
50,5,2,sqrt,10,0.8560101615279686,0.16947030332487173,12
50,10,4,sqrt,,0.8442932502912047,0.178386064971418,19
100,10,1,log2,15,0.8591929910261452,0.17591440182483478,10
100,10,4,sqrt,10,0.8432981393160542,0.17672146802928343,23
100,10,4,sqrt,5,0.8082437664394865,0.16526859885884018,30
200,5,4,log2,10,0.8480528935762693,0.18090932680641933,17
200,2,2,log2,15,0.8596229954869972,0.17841634350267246,9
200,10,4,log2,15,0.8462694861454002,0.1848837993271074,18
100,10,2,sqrt,5,0.8127676934756441,0.16845199413312034,29
50,2,4,log2,5,0.8164451350056163,0.16667725899797273,27
100,2,2,log2,,0.8597492927461063,0.178214392939014,7
