feature,importance
pwht_temp_C,0.08858846705465127
voltage_V,0.08838377599717788
current_A,0.07766529973098625
manganese_wt_pct,0.07206731340465007
phosphorus_wt_pct,0.06373063728832247
carbon_wt_pct,0.05838737735543405
titanium_ppm,0.05736421201013976
pwht_time_h,0.054691400779502936
molybdenum_wt_pct,0.04833940138566659
oxygen_ppm,0.04570153983056307
silicon_wt_pct,0.04551825577117707
chromium_wt_pct,0.04461281297929442
nitrogen_ppm,0.0385262633759176
sulfur_wt_pct,0.037778754367493464
interpass_temp_C,0.032453466151672376
heat_input_kJmm,0.029800177249713348
aluminium_ppm,0.02577845940952991
vanadium_wt_pct,0.022929086968006825
nickel_wt_pct,0.020844288298658937
current_type_DC,0.010572280008875983
copper_wt_pct,0.010423543744065938
weld_type_MMA,0.00830025532565833
electrode_polarity_+,0.0076593443447225676
weld_type_SA,0.004981690255409388
weld_type_FCA,0.001976881366884731
weld_type_TSA,0.0013262713941773184
weld_type_ShMA,0.0011953275685796588
electrode_polarity_0,0.0002241352518325026
current_type_AC,0.0001719232562562902
weld_type_NGSAW,3.7791181312100898e-06
weld_type_NGGMA,2.2794673320882486e-06
electrode_polarity_-,1.2994895156692306e-06
weld_type_SAA,0.0
weld_type_GTAA,0.0
weld_type_GMAA,0.0
