param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8472482827912907,0.1079282122965101,3
50,10,4,log2,,0.8274247232219438,0.09251100276709504,18
50,5,1,log2,15,0.8358674541586261,0.1458387848869767,12
50,10,2,sqrt,,0.8436622338153987,0.10209226079117545,5
50,10,2,sqrt,5,0.7264988580997488,0.035048552585568694,29
50,5,1,sqrt,15,0.8358674541586261,0.1458387848869767,12
200,2,4,sqrt,,0.8353129270418199,0.0983159974896931,14
100,2,4,sqrt,10,0.8141903728558771,0.09951230489664584,22
100,10,2,log2,,0.8394289487525625,0.1082890022265684,9
100,5,1,log2,15,0.8375445995326057,0.14163187217090156,10
50,10,4,log2,15,0.8275739089087293,0.09261658777861326,17
50,5,1,log2,5,0.7232273967196997,0.037923124083039786,30
100,2,1,log2,,0.843358003737491,0.1285215209971617,6
50,2,2,sqrt,5,0.7308064257620771,0.03483905361501442,27
100,5,2,sqrt,10,0.8331168294799248,0.1072432772321622,16
200,5,2,sqrt,,0.8444338237465173,0.11910769191113564,4
100,2,2,sqrt,,0.849886321632567,0.12392278018132895,1
50,2,4,sqrt,5,0.7308264083061644,0.033038390589119185,25
100,2,4,log2,15,0.8396903289467167,0.10037256783908079,8
50,5,2,sqrt,10,0.8345967214537454,0.0918665239339918,15
50,10,4,sqrt,,0.8274247232219438,0.09251100276709504,18
100,10,1,log2,15,0.837209996170763,0.13086407732562177,11
100,10,4,sqrt,10,0.8108623577316308,0.09087257429512803,23
100,10,4,sqrt,5,0.729836247886208,0.03927804041691286,28
200,5,4,log2,10,0.8237104282275194,0.09240685650885264,20
200,2,2,log2,15,0.8429072632385514,0.12412088373020878,7
200,10,4,log2,15,0.821256187800774,0.1003047891557765,21
100,10,2,sqrt,5,0.7309567352623138,0.03784138991522419,24
50,2,4,log2,5,0.7308264083061644,0.033038390589119185,25
100,2,2,log2,,0.849886321632567,0.12392278018132895,1
