param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8418023968606884,0.07916854069721353,3
50,10,4,log2,,0.8308698918503775,0.05667709353180978,12
50,5,1,log2,15,0.8452888056322315,0.0942173482375322,1
50,10,2,sqrt,,0.8299044108418877,0.08084321120866064,14
50,10,2,sqrt,5,0.6948636706532193,0.0244535662621715,27
50,5,1,sqrt,15,0.8452888056322315,0.0942173482375322,1
200,2,4,sqrt,,0.8213148172562031,0.07130828386089337,18
100,2,4,sqrt,10,0.811132716435579,0.04136829551365398,22
100,10,2,log2,,0.8351208267373261,0.07576572441571164,9
100,5,1,log2,15,0.8382087353970201,0.09586571731279744,5
50,10,4,log2,15,0.8285729809534904,0.05650550487399456,15
50,5,1,log2,5,0.7089361216030725,0.023856255136239443,24
100,2,1,log2,,0.8416918920272124,0.10164610665029532,4
50,2,2,sqrt,5,0.7041507258571394,0.01693074448863628,25
100,5,2,sqrt,10,0.8218756669361763,0.07263794219846112,17
200,5,2,sqrt,,0.8339865592773318,0.0888566890549686,10
100,2,2,sqrt,,0.8373358833993007,0.08830018625939487,7
50,2,4,sqrt,5,0.6907055571510871,0.028350591592353033,28
100,2,4,log2,15,0.8230860401579378,0.06793459847154365,16
50,5,2,sqrt,10,0.8199714329265945,0.08261666080348899,19
50,10,4,sqrt,,0.8308698918503775,0.05667709353180978,12
100,10,1,log2,15,0.8325999083875932,0.0877706083631435,11
100,10,4,sqrt,10,0.8063333342341781,0.05569339395329998,23
100,10,4,sqrt,5,0.6904916093249821,0.03350384637893357,30
200,5,4,log2,10,0.8118802133102614,0.05079825686462814,21
200,2,2,log2,15,0.837476201033617,0.08867819098954365,6
200,10,4,log2,15,0.8198742573849088,0.05900130466808696,20
100,10,2,sqrt,5,0.6988040500601143,0.024558557779824984,26
50,2,4,log2,5,0.6907055571510871,0.028350591592353033,28
100,2,2,log2,,0.8373358833993007,0.08830018625939487,7
