param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8745324757864728,0.087160694787803,11
50,10,4,log2,,0.8629055361245511,0.06044550654357149,17
50,5,1,log2,15,0.8754214551177096,0.09642779588196952,9
50,10,2,sqrt,,0.8757922510876343,0.07981191121883201,7
50,10,2,sqrt,5,0.8041318499466077,0.0161312756590917,26
50,5,1,sqrt,15,0.8754214551177096,0.09642779588196952,9
200,2,4,sqrt,,0.8684020343789673,0.056517465350903656,14
100,2,4,sqrt,10,0.8649158636528588,0.050844041255755514,15
100,10,2,log2,,0.8741795222792544,0.07831209172401431,12
100,5,1,log2,15,0.8796523388654794,0.09282660132184088,4
50,10,4,log2,15,0.8599756306983853,0.06260238867705739,22
50,5,1,log2,5,0.795342305510057,0.024024511327861015,30
100,2,1,log2,,0.8789125426295602,0.09824256876905342,6
50,2,2,sqrt,5,0.8066418318507661,0.029320881206265473,24
100,5,2,sqrt,10,0.8521126940890609,0.06818650693943847,23
200,5,2,sqrt,,0.878984640442034,0.08051597303367929,5
100,2,2,sqrt,,0.8807944937222687,0.0808141496873812,2
50,2,4,sqrt,5,0.7988873499546099,0.009368181611660252,28
100,2,4,log2,15,0.8603719860857199,0.049810670359760945,21
50,5,2,sqrt,10,0.8640882125545825,0.07178543465739026,16
50,10,4,sqrt,,0.8629055361245511,0.06044550654357149,17
100,10,1,log2,15,0.8755323723022744,0.0870405878876186,8
100,10,4,sqrt,10,0.8625521546532461,0.048444761039299254,19
100,10,4,sqrt,5,0.7999699944268309,0.008738514223928219,27
200,5,4,log2,10,0.8612957539940475,0.04129743393008676,20
200,2,2,log2,15,0.8837944934023204,0.07556548265232091,1
200,10,4,log2,15,0.8733876225708762,0.051313549687809205,13
100,10,2,sqrt,5,0.8057838717901729,0.01289359986564844,25
50,2,4,log2,5,0.7988873499546099,0.009368181611660252,28
100,2,2,log2,,0.8807944937222687,0.0808141496873812,2
