param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8989482967000049,0.08806341043866282,4
50,10,4,log2,,0.873629362118746,0.09178164792225962,20
50,5,1,log2,15,0.8958541203534396,0.10035955380146198,5
50,10,2,sqrt,,0.8895340471696228,0.08393512174803179,12
50,10,2,sqrt,5,0.838890287577434,0.06787384591666312,24
50,5,1,sqrt,15,0.8958541203534396,0.10035955380146198,5
200,2,4,sqrt,,0.8880113711710845,0.08425440059210712,15
100,2,4,sqrt,10,0.8845485526054052,0.08297935866445588,17
100,10,2,log2,,0.88951931176359,0.08569935770073236,13
100,5,1,log2,15,0.8951121059332822,0.10142089153384413,7
50,10,4,log2,15,0.873629362118746,0.09178164792225962,20
50,5,1,log2,5,0.8334909369000097,0.08351173880773607,27
100,2,1,log2,,0.9109996184009282,0.09782577831418743,1
50,2,2,sqrt,5,0.8313120691073045,0.0797332541527381,29
100,5,2,sqrt,10,0.8945797230641833,0.09095574451808539,9
200,5,2,sqrt,,0.908992282496528,0.08804455636295212,2
100,2,2,sqrt,,0.8938775681250658,0.10489807280251853,10
50,2,4,sqrt,5,0.8347766042770285,0.07375129446938415,25
100,2,4,log2,15,0.8816908850787826,0.08713782371816943,18
50,5,2,sqrt,10,0.8868037140005626,0.08458407985045799,16
50,10,4,sqrt,,0.873629362118746,0.09178164792225962,20
100,10,1,log2,15,0.8946658713411605,0.08769934502005353,8
100,10,4,sqrt,10,0.8672281095395992,0.09248636709641661,23
100,10,4,sqrt,5,0.8319547037586675,0.07086703182859753,28
200,5,4,log2,10,0.8882798567206788,0.08388154344493606,14
200,2,2,log2,15,0.90512106915983,0.09349477490725548,3
200,10,4,log2,15,0.8777564806729262,0.08942731160630177,19
100,10,2,sqrt,5,0.8296345156445355,0.07317607072038851,30
50,2,4,log2,5,0.8347766042770285,0.07375129446938415,25
100,2,2,log2,,0.8938775681250658,0.10489807280251853,10
