param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8921722823910813,0.0850411840599841,12
50,10,4,log2,,0.8824048104883676,0.08136326017445115,19
50,5,1,log2,15,0.8990742093330636,0.08492496560523599,6
50,10,2,sqrt,,0.8899290629944887,0.08206560437364326,14
50,10,2,sqrt,5,0.8313075340537758,0.0819163990769806,28
50,5,1,sqrt,15,0.8990742093330636,0.08492496560523599,6
200,2,4,sqrt,,0.892269918257508,0.06799320185537436,11
100,2,4,sqrt,10,0.8822240985422404,0.0736449817557762,21
100,10,2,log2,,0.891123948227264,0.07371411273421798,13
100,5,1,log2,15,0.9033100019268395,0.08065340247046658,2
50,10,4,log2,15,0.8809639898894343,0.08041853633546345,22
50,5,1,log2,5,0.8452478379699114,0.08375609409003532,24
100,2,1,log2,,0.8973564877556451,0.09212339449685082,8
50,2,2,sqrt,5,0.8449359395234207,0.08442055800608901,25
100,5,2,sqrt,10,0.8942501381414512,0.07735401650810574,10
200,5,2,sqrt,,0.9041423881229016,0.07442891022792153,1
100,2,2,sqrt,,0.8998712526321978,0.0773855994305661,4
50,2,4,sqrt,5,0.8220943121089498,0.09094365151415656,29
100,2,4,log2,15,0.884674956353872,0.07048505293355997,16
50,5,2,sqrt,10,0.883222132274156,0.0847794773195536,18
50,10,4,sqrt,,0.8824048104883676,0.08136326017445115,19
100,10,1,log2,15,0.8958119859395314,0.07705107307074706,9
100,10,4,sqrt,10,0.8809059496168006,0.06888043556413388,23
100,10,4,sqrt,5,0.8444224071856672,0.06716930050992394,26
200,5,4,log2,10,0.8837261726150868,0.07457950048664458,17
200,2,2,log2,15,0.90325916300539,0.07252933460964031,3
200,10,4,log2,15,0.8895982450955014,0.06643021250505796,15
100,10,2,sqrt,5,0.8432713328478195,0.07032718454508545,27
50,2,4,log2,5,0.8220943121089498,0.09094365151415656,29
100,2,2,log2,,0.8998712526321978,0.0773855994305661,4
