param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8669248269561675,0.10517569722756757,10
50,10,4,log2,,0.8587518978126086,0.11521163611194153,19
50,5,1,log2,15,0.8612317403741327,0.0998913612973681,16
50,10,2,sqrt,,0.8660856243823613,0.1117562368182474,11
50,10,2,sqrt,5,0.8554001434144675,0.09941445255625841,26
50,5,1,sqrt,15,0.8612317403741327,0.0998913612973681,16
200,2,4,sqrt,,0.8705950679884312,0.10316954467232833,6
100,2,4,sqrt,10,0.8708649135946108,0.10455723357053386,5
100,10,2,log2,,0.8727077122033716,0.10691311574039558,4
100,5,1,log2,15,0.8633994356127962,0.09707214056346826,14
50,10,4,log2,15,0.8603535179013507,0.11645617082711825,18
50,5,1,log2,5,0.8520949679708307,0.10313425652183239,27
100,2,1,log2,,0.856841781779989,0.11079960016815507,25
50,2,2,sqrt,5,0.8453408904381364,0.11600365221576964,30
100,5,2,sqrt,10,0.8754933415619096,0.10474627537834366,2
200,5,2,sqrt,,0.8692975090573802,0.09268826662627026,7
100,2,2,sqrt,,0.8586213682782247,0.10353390794226695,21
50,2,4,sqrt,5,0.8518511179893361,0.10215597970201498,28
100,2,4,log2,15,0.8653066924933398,0.11388382299080746,12
50,5,2,sqrt,10,0.8689632228541928,0.10522946301649957,8
50,10,4,sqrt,,0.8587518978126086,0.11521163611194153,19
100,10,1,log2,15,0.8673758139661506,0.10868805519063121,9
100,10,4,sqrt,10,0.8633370081998623,0.11172314043330675,15
100,10,4,sqrt,5,0.8575842545193938,0.10272395402043476,23
200,5,4,log2,10,0.8730254914060981,0.09983187247827031,3
200,2,2,log2,15,0.8644038156422155,0.09351054332373694,13
200,10,4,log2,15,0.8764150212411931,0.09839486850554949,1
100,10,2,sqrt,5,0.856954837652955,0.10035826888708607,24
50,2,4,log2,5,0.8518511179893361,0.10215597970201498,28
100,2,2,log2,,0.8586213682782247,0.10353390794226695,21
