param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8140581566675905,0.08043590939795636,7
50,10,4,log2,,0.7675452882790026,0.0855756247453187,17
50,5,1,log2,15,0.812228589668682,0.08676548076890171,9
50,10,2,sqrt,,0.8013542310105194,0.07543862178116173,12
50,10,2,sqrt,5,0.6993469198034198,0.043589754578514224,27
50,5,1,sqrt,15,0.812228589668682,0.08676548076890171,9
200,2,4,sqrt,,0.7785236429923211,0.0715282819204124,15
100,2,4,sqrt,10,0.7649711118901225,0.07398037225090638,20
100,10,2,log2,,0.8077534550447293,0.08362717939729811,11
100,5,1,log2,15,0.8215685186587641,0.09172059960605457,3
50,10,4,log2,15,0.760074021836208,0.07445262533966045,23
50,5,1,log2,5,0.6982036350324755,0.052195451839173505,28
100,2,1,log2,,0.8318065247364008,0.08464493989632614,1
50,2,2,sqrt,5,0.6999939218839918,0.047016932454433606,26
100,5,2,sqrt,10,0.7998720653654235,0.07558140009201192,13
200,5,2,sqrt,,0.8171390324259153,0.07889521635750366,6
100,2,2,sqrt,,0.819598249919992,0.07841848881505722,4
50,2,4,sqrt,5,0.6917788951078796,0.05167372652427573,29
100,2,4,log2,15,0.772063969132415,0.0767616292123207,16
50,5,2,sqrt,10,0.7997039505911744,0.07163518944556097,14
50,10,4,sqrt,,0.7675452882790026,0.0855756247453187,17
100,10,1,log2,15,0.8130179018515024,0.080282963139118,8
100,10,4,sqrt,10,0.7634078361216732,0.07498738808304156,21
100,10,4,sqrt,5,0.7029923756912271,0.05143997496246727,24
200,5,4,log2,10,0.7616008989487589,0.0784696534142019,22
200,2,2,log2,15,0.8230978806948391,0.07527561366059957,2
200,10,4,log2,15,0.766903764618663,0.07008529607282982,19
100,10,2,sqrt,5,0.7025931380710136,0.052077187197973746,25
50,2,4,log2,5,0.6917788951078796,0.05167372652427573,29
100,2,2,log2,,0.819598249919992,0.07841848881505722,4
