param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8279543801233076,0.08097954814192902,10
50,10,4,log2,,0.7765736581834197,0.06789834992435402,20
50,5,1,log2,15,0.8378968331184328,0.08031098319497726,3
50,10,2,sqrt,,0.81951898571103,0.0870807452665945,11
50,10,2,sqrt,5,0.7005310653764463,0.04124892512435272,25
50,5,1,sqrt,15,0.8378968331184328,0.08031098319497726,3
200,2,4,sqrt,,0.7819824343634996,0.07106463985523763,16
100,2,4,sqrt,10,0.7766089505527831,0.06881316124186049,19
100,10,2,log2,,0.8142020333528402,0.08347203177023611,13
100,5,1,log2,15,0.8426346316790961,0.08372234849450333,2
50,10,4,log2,15,0.7756546833891492,0.06744748524248118,22
50,5,1,log2,5,0.706706153341489,0.03610422656385352,24
100,2,1,log2,,0.8537270151758922,0.08679737333345462,1
50,2,2,sqrt,5,0.6983060062739215,0.03879991202258442,27
100,5,2,sqrt,10,0.8160229420167692,0.07175420251331885,12
200,5,2,sqrt,,0.8366893886746167,0.07149669162968732,5
100,2,2,sqrt,,0.832825621507804,0.07730501812226112,7
50,2,4,sqrt,5,0.6926496642867345,0.04652454038519165,28
100,2,4,log2,15,0.7845125302392648,0.07403068817653163,15
50,5,2,sqrt,10,0.8084249278003183,0.07476995735291701,14
50,10,4,sqrt,,0.7765736581834197,0.06789834992435402,20
100,10,1,log2,15,0.8290471701744534,0.07701762850548037,9
100,10,4,sqrt,10,0.7686768748203973,0.06671139220996374,23
100,10,4,sqrt,5,0.6920401864398777,0.042668627153046035,30
200,5,4,log2,10,0.7798741405412654,0.0697782229524851,17
200,2,2,log2,15,0.835886978731884,0.07076947257092936,6
200,10,4,log2,15,0.7782710627644374,0.07125816078305462,18
100,10,2,sqrt,5,0.6986347002288107,0.04110359833695159,26
50,2,4,log2,5,0.6926496642867345,0.04652454038519165,28
100,2,2,log2,,0.832825621507804,0.07730501812226112,7
