param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.9078670342571566,0.10061963474390301,4
50,10,4,log2,,0.8827174919061177,0.10648536775866281,16
50,5,1,log2,15,0.9074497722687456,0.10737516049397755,7
50,10,2,sqrt,,0.8964008388668255,0.11518721745274206,12
50,10,2,sqrt,5,0.8079276258047057,0.12824815763668562,24
50,5,1,sqrt,15,0.9074497722687456,0.10737516049397755,7
200,2,4,sqrt,,0.8907883273929215,0.10599547844629816,13
100,2,4,sqrt,10,0.8642452218716078,0.11044551262750667,22
100,10,2,log2,,0.8998383041862755,0.10400109464375837,10
100,5,1,log2,15,0.910645406732785,0.09363539560266361,3
50,10,4,log2,15,0.8830828161567652,0.10431135418715738,14
50,5,1,log2,5,0.8013097995294567,0.11979952725983081,27
100,2,1,log2,,0.9226210169091891,0.0969654249446589,1
50,2,2,sqrt,5,0.795412884299855,0.10800377960717751,30
100,5,2,sqrt,10,0.8743888437682729,0.10889809074301714,20
200,5,2,sqrt,,0.9114580811014389,0.0970884277818339,2
100,2,2,sqrt,,0.9076624411968375,0.1040880984099974,5
50,2,4,sqrt,5,0.8004556716467243,0.12635266796654632,28
100,2,4,log2,15,0.8796739535401018,0.10605509462106846,18
50,5,2,sqrt,10,0.8750180859819597,0.11256467887410529,19
50,10,4,sqrt,,0.8827174919061177,0.10648536775866281,16
100,10,1,log2,15,0.8967850690702313,0.1040103351460082,11
100,10,4,sqrt,10,0.8640949123076745,0.10161232844876808,23
100,10,4,sqrt,5,0.8045376204204966,0.11953611263409517,26
200,5,4,log2,10,0.866554968690048,0.10719748274105356,21
200,2,2,log2,15,0.905969633028925,0.10021136555171982,9
200,10,4,log2,15,0.8827282761488675,0.10492475234556853,15
100,10,2,sqrt,5,0.8076302683072408,0.12171390769797213,25
50,2,4,log2,5,0.8004556716467243,0.12635266796654632,28
100,2,2,log2,,0.9076624411968375,0.1040880984099974,5
