kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
rbf,5.0,2000,0.1,0.6882761498713506,
rbf,5.0,2000,0.2,0.6882761498713506,
rbf,50.0,2000,0.2,0.6746227983668491,
rbf,50.0,2000,0.3,0.6746227983668491,
rbf,10.0,2000,0.1,0.674414554668836,
rbf,10.0,2000,0.3,0.674414554668836,
rbf,10.0,2000,0.2,0.674414554668836,
rbf,50.0,2000,0.1,0.6679489732204129,
rbf,30.0,2000,0.1,0.6674695731487414,
rbf,30.0,2000,0.2,0.6674695731487414,
rbf,5.0,2000,0.3,0.666457528957529,
rbf,10.0,2000,0.5,0.6663316013761272,
rbf,20.0,2000,0.1,0.661154403127521,
rbf,20.0,2000,0.3,0.6600980845921167,
rbf,30.0,2000,0.5,0.6600980845921167,
rbf,20.0,2000,0.5,0.65432652261543,
rbf,30.0,2000,0.3,0.6535513323365609,
rbf,20.0,2000,0.2,0.6535513323365609,
rbf,50.0,2000,0.5,0.6523302547371181,
rbf,5.0,2000,0.5,0.6488695692513342,
knn,,2000,0.2,0.6165141519472228,7.0
knn,,2000,0.1,0.6107905658467456,7.0
knn,,2000,0.3,0.6107905658467456,7.0
knn,,2000,0.5,0.609352972567332,3.0
knn,,2000,0.1,0.6083773991382687,3.0
knn,,2000,0.3,0.6083773991382687,3.0
knn,,2000,0.2,0.6083773991382687,3.0
knn,,2000,0.5,0.6044923823454671,7.0
knn,,2000,0.1,0.5903434653245798,5.0
knn,,2000,0.1,0.5887421482719446,10.0
knn,,2000,0.2,0.5833176763215274,5.0
knn,,2000,0.2,0.5822054393482965,10.0
knn,,2000,0.3,0.5822054393482965,10.0
knn,,2000,0.3,0.5757453767970542,5.0
knn,,2000,0.5,0.57151816888659,5.0
knn,,2000,0.5,0.5605292792792792,10.0
