param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8669318524769533,0.13219378207868365,17
50,10,4,log2,,0.8601859783344601,0.12590877547040377,21
50,5,1,log2,15,0.8741898305758964,0.12325815158250146,5
50,10,2,sqrt,,0.8681191189605949,0.12379464460739105,15
50,10,2,sqrt,5,0.816312244771154,0.12624630121092062,27
50,5,1,sqrt,15,0.8741898305758964,0.12325815158250146,5
200,2,4,sqrt,,0.8697349946632448,0.12781246845110233,14
100,2,4,sqrt,10,0.8632905874630447,0.12635106646466837,20
100,10,2,log2,,0.8762800891050402,0.12549185195980683,4
100,5,1,log2,15,0.8815170347257141,0.12570672711321154,1
50,10,4,log2,15,0.8601859783344601,0.12590877547040377,21
50,5,1,log2,5,0.822159951836651,0.12500951109681163,25
100,2,1,log2,,0.8806271534288754,0.12835852100314582,2
50,2,2,sqrt,5,0.8182572917885497,0.12741250080200128,26
100,5,2,sqrt,10,0.8740030772974166,0.12246652118715858,8
200,5,2,sqrt,,0.8764189336506382,0.12721114198891206,3
100,2,2,sqrt,,0.8722307410661715,0.12826926619939033,11
50,2,4,sqrt,5,0.8136961011615295,0.11665744958708214,29
100,2,4,log2,15,0.870257389580181,0.1260416897919162,13
50,5,2,sqrt,10,0.8727185383036891,0.12836662288342982,10
50,10,4,sqrt,,0.8601859783344601,0.12590877547040377,21
100,10,1,log2,15,0.874155654951961,0.12824754661257354,7
100,10,4,sqrt,10,0.8665787320401755,0.12903979869469623,18
100,10,4,sqrt,5,0.8142856449604153,0.11948659225672069,28
200,5,4,log2,10,0.8636327879694837,0.12887276793209893,19
200,2,2,log2,15,0.8728655295227874,0.1288728131827378,9
200,10,4,log2,15,0.8679304869299034,0.12120208234634165,16
100,10,2,sqrt,5,0.8228121094199854,0.12167288828900778,24
50,2,4,log2,5,0.8136961011615295,0.11665744958708214,29
100,2,2,log2,,0.8722307410661715,0.12826926619939033,11
