param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8692354695316817,0.14462702065102073,4
50,10,4,log2,,0.8531197452861913,0.13301073061452534,20
50,5,1,log2,15,0.8693620572746403,0.13981857886364835,2
50,10,2,sqrt,,0.860239540374154,0.13066819796099827,13
50,10,2,sqrt,5,0.8134932922273329,0.13557933577651524,28
50,5,1,sqrt,15,0.8693620572746403,0.13981857886364835,2
200,2,4,sqrt,,0.8558927876317233,0.1353712850288561,17
100,2,4,sqrt,10,0.8510291702121159,0.13411835982240083,23
100,10,2,log2,,0.8599499982853412,0.1377798495784378,14
100,5,1,log2,15,0.8714554442769561,0.13841716738267495,1
50,10,4,log2,15,0.8531197452861913,0.13301073061452534,20
50,5,1,log2,5,0.824316666864039,0.13890903728043372,25
100,2,1,log2,,0.8679460146824941,0.1386538256189691,6
50,2,2,sqrt,5,0.8288815054367603,0.1340053150114297,24
100,5,2,sqrt,10,0.8664521957211715,0.1373263255341143,8
200,5,2,sqrt,,0.8669869022449109,0.13704576471432592,7
100,2,2,sqrt,,0.8644265830513215,0.1410111550216615,9
50,2,4,sqrt,5,0.8134503499460686,0.12862556730634234,29
100,2,4,log2,15,0.856023942426904,0.13649112898343665,16
50,5,2,sqrt,10,0.8635863563858508,0.13829065424558043,11
50,10,4,sqrt,,0.8531197452861913,0.13301073061452534,20
100,10,1,log2,15,0.8602473482627309,0.1352917765636112,12
100,10,4,sqrt,10,0.8538583337489483,0.1332431184208068,19
100,10,4,sqrt,5,0.8176239760448564,0.12575021667101327,27
200,5,4,log2,10,0.8570655342969241,0.13344837501756968,15
200,2,2,log2,15,0.8679627441616046,0.13723456789934885,5
200,10,4,log2,15,0.8539540716003454,0.13942604745553508,18
100,10,2,sqrt,5,0.8215757249230841,0.13022235393414439,26
50,2,4,log2,5,0.8134503499460686,0.12862556730634234,29
100,2,2,log2,,0.8644265830513215,0.1410111550216615,9
