param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8700937561810065,0.15562114523093515,5
50,10,4,log2,,0.864181825730053,0.15924361662294048,18
50,5,1,log2,15,0.8722888924543614,0.15405960426126686,2
50,10,2,sqrt,,0.8650657726553418,0.1534028456983126,14
50,10,2,sqrt,5,0.8308113296400585,0.14619705457784613,28
50,5,1,sqrt,15,0.8722888924543614,0.15405960426126686,2
200,2,4,sqrt,,0.8657190021416789,0.15258408373478838,11
100,2,4,sqrt,10,0.8613651627484392,0.15563282126511097,23
100,10,2,log2,,0.8691459279066888,0.1492673127691523,8
100,5,1,log2,15,0.8741654002395328,0.15299338044544378,1
50,10,4,log2,15,0.86491842608746,0.15978214442911898,16
50,5,1,log2,5,0.832275269158948,0.1405409750036582,26
100,2,1,log2,,0.867955055447107,0.16183750699577126,10
50,2,2,sqrt,5,0.8352119191378793,0.14946263369967946,24
100,5,2,sqrt,10,0.8684697678250083,0.15957547957098125,9
200,5,2,sqrt,,0.8705263585263499,0.1565358007686881,4
100,2,2,sqrt,,0.862850324354255,0.16280415163458026,21
50,2,4,sqrt,5,0.8301603496514746,0.1436682319399552,29
100,2,4,log2,15,0.8648197471239015,0.1492392664159866,17
50,5,2,sqrt,10,0.8651752867990031,0.15959144777006778,13
50,10,4,sqrt,,0.864181825730053,0.15924361662294048,18
100,10,1,log2,15,0.8653252373371482,0.1546577204188885,12
100,10,4,sqrt,10,0.8634833243701149,0.15713868430344607,20
100,10,4,sqrt,5,0.8309653804925398,0.13993351343889301,27
200,5,4,log2,10,0.8649870072192071,0.15813611653543933,15
200,2,2,log2,15,0.8699144033116157,0.15906071578621758,6
200,10,4,log2,15,0.8694951208168472,0.1487104890503802,7
100,10,2,sqrt,5,0.8346120248525607,0.1456620046824851,25
50,2,4,log2,5,0.8301603496514746,0.1436682319399552,29
100,2,2,log2,,0.862850324354255,0.16280415163458026,21
