kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.1,0.6373643196097759,7.0
knn,,2000,0.5,0.6317116147668806,5.0
knn,,2000,0.3,0.625549865707346,7.0
knn,,2000,0.2,0.625549865707346,7.0
knn,,2000,0.3,0.625152020322299,5.0
knn,,2000,0.5,0.6246173604037741,7.0
knn,,2000,0.1,0.6184618479086401,5.0
knn,,2000,0.2,0.6184618479086401,5.0
knn,,2000,0.2,0.6049832112332112,10.0
knn,,2000,0.1,0.6049832112332112,10.0
knn,,2000,0.3,0.5911928517418809,10.0
knn,,2000,0.5,0.590317080296593,10.0
knn,,2000,0.3,0.5637871387871388,3.0
knn,,2000,0.2,0.5637871387871388,3.0
knn,,2000,0.1,0.5637871387871388,3.0
knn,,2000,0.5,0.5557398400221296,3.0
rbf,5.0,2000,0.3,0.43910399198860733,
rbf,5.0,2000,0.2,0.43047376215253763,
rbf,5.0,2000,0.1,0.43047376215253763,
rbf,5.0,2000,0.5,0.4216790737016201,
rbf,10.0,2000,0.2,0.38236014051616884,
rbf,10.0,2000,0.1,0.38236014051616884,
rbf,20.0,2000,0.3,0.3749872550777528,
rbf,10.0,2000,0.5,0.3679380532321708,
rbf,10.0,2000,0.3,0.3679380532321708,
rbf,20.0,2000,0.5,0.3652859960552268,
rbf,20.0,2000,0.2,0.3553389341669458,
rbf,20.0,2000,0.1,0.3553389341669458,
rbf,30.0,2000,0.5,0.3447965205884512,
rbf,30.0,2000,0.3,0.3447965205884512,
rbf,30.0,2000,0.2,0.3447965205884512,
rbf,30.0,2000,0.1,0.3447965205884512,
rbf,50.0,2000,0.5,0.33730451006934303,
rbf,50.0,2000,0.2,0.33730451006934303,
rbf,50.0,2000,0.1,0.33730451006934303,
rbf,50.0,2000,0.3,0.33730451006934303,
