param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7944722783664694,0.08124678934794753,9
50,10,4,log2,,0.7712830673834636,0.09500572269053376,17
50,5,1,log2,15,0.8132771876215564,0.09695345399610528,2
50,10,2,sqrt,,0.7826322033131062,0.08882297141419224,14
50,10,2,sqrt,5,0.6721775544403138,0.046406587647036396,30
50,5,1,sqrt,15,0.8132771876215564,0.09695345399610528,2
200,2,4,sqrt,,0.7804073607774716,0.0784865620869146,15
100,2,4,sqrt,10,0.7666422067561101,0.07632854557657094,21
100,10,2,log2,,0.779750345930356,0.07981221741655017,16
100,5,1,log2,15,0.8032753294944781,0.09705401233656728,4
50,10,4,log2,15,0.7674640698702434,0.0932490653881895,20
50,5,1,log2,5,0.690369946979147,0.05100818568944486,28
100,2,1,log2,,0.8148014200280184,0.09386749384447099,1
50,2,2,sqrt,5,0.6923704656353206,0.0526049948436621,24
100,5,2,sqrt,10,0.7855032368281717,0.07831276281725587,11
200,5,2,sqrt,,0.800212793511764,0.08875945822851176,5
100,2,2,sqrt,,0.7965766486273176,0.08865759428108075,6
50,2,4,sqrt,5,0.6917053881887701,0.059052186666342335,26
100,2,4,log2,15,0.7838554417506663,0.08569875899229254,13
50,5,2,sqrt,10,0.7845130622035233,0.0803098551313156,12
50,10,4,sqrt,,0.7712830673834636,0.09500572269053376,17
100,10,1,log2,15,0.7959330531060078,0.09046604086336012,8
100,10,4,sqrt,10,0.7535511345828428,0.06699638781894364,23
100,10,4,sqrt,5,0.6923668341150163,0.05501015353225103,25
200,5,4,log2,10,0.7544158216704059,0.0676257217249095,22
200,2,2,log2,15,0.7942346120714072,0.08572110546463392,10
200,10,4,log2,15,0.7680384297432145,0.07693295555402518,19
100,10,2,sqrt,5,0.6815881946703807,0.04646613479687651,29
50,2,4,log2,5,0.6917053881887701,0.059052186666342335,26
100,2,2,log2,,0.7965766486273176,0.08865759428108075,6
