param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.7858737597867057,0.0877255682170053,12
50,10,4,log2,,0.7739642697489003,0.0703050866740207,18
50,5,1,log2,15,0.8121321793434264,0.09934253652721049,3
50,10,2,sqrt,,0.7846468435226317,0.07748887644841779,13
50,10,2,sqrt,5,0.6899641959892842,0.03315564566401863,25
50,5,1,sqrt,15,0.8121321793434264,0.09934253652721049,3
200,2,4,sqrt,,0.779375636736204,0.06763942514311488,16
100,2,4,sqrt,10,0.7664958574069161,0.06287435279765793,21
100,10,2,log2,,0.7948367024746744,0.07756027527442012,10
100,5,1,log2,15,0.814900406308182,0.09975919472955282,1
50,10,4,log2,15,0.7706700850749332,0.06873861669264349,20
50,5,1,log2,5,0.6856406241209724,0.03239890992560728,27
100,2,1,log2,,0.8143255976491895,0.0971605413319648,2
50,2,2,sqrt,5,0.686188982411499,0.03131631134542927,26
100,5,2,sqrt,10,0.788933431690276,0.07809340473975808,11
200,5,2,sqrt,,0.8021919820984645,0.08221254318604435,5
100,2,2,sqrt,,0.8019568255814921,0.08099377508335888,6
50,2,4,sqrt,5,0.6791207103421534,0.03417452449207196,29
100,2,4,log2,15,0.7792189933597538,0.06998417123516991,17
50,5,2,sqrt,10,0.7831410722972433,0.07902767227032095,14
50,10,4,sqrt,,0.7739642697489003,0.0703050866740207,18
100,10,1,log2,15,0.7981371549457258,0.09560898894043202,9
100,10,4,sqrt,10,0.7630452679981484,0.06399287730193468,22
100,10,4,sqrt,5,0.679934777481634,0.0419176455994976,28
200,5,4,log2,10,0.7605535392985998,0.05309179329737272,23
200,2,2,log2,15,0.8014581672402185,0.09129870661263083,8
200,10,4,log2,15,0.7809846968966792,0.0758820449192857,15
100,10,2,sqrt,5,0.6998072868774913,0.040835648731465404,24
50,2,4,log2,5,0.6791207103421534,0.03417452449207196,29
100,2,2,log2,,0.8019568255814921,0.08099377508335888,6
