param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8860227860988187,0.10883341005881647,7
50,10,4,log2,,0.8610224763257683,0.10511058021067315,16
50,5,1,log2,15,0.8915649562442748,0.10906195813636968,3
50,10,2,sqrt,,0.8699088691428628,0.10967331374500061,13
50,10,2,sqrt,5,0.7737764270521296,0.10537622278880443,28
50,5,1,sqrt,15,0.8915649562442748,0.10906195813636968,3
200,2,4,sqrt,,0.8682512745836922,0.11505283172147802,14
100,2,4,sqrt,10,0.8511400103630006,0.11767810435599757,22
100,10,2,log2,,0.8712338388045588,0.11238821780397329,12
100,5,1,log2,15,0.8932030347645457,0.10525672986067423,2
50,10,4,log2,15,0.8608048595563141,0.11001825068404308,18
50,5,1,log2,5,0.7816419800702304,0.10400758577150312,27
100,2,1,log2,,0.8977864903445646,0.10501210134617765,1
50,2,2,sqrt,5,0.7845028860846274,0.11113637943011087,26
100,5,2,sqrt,10,0.8747202408751674,0.10766041464291047,11
200,5,2,sqrt,,0.8874551012771114,0.11006977772192794,5
100,2,2,sqrt,,0.8815871411651389,0.11359950232817513,9
50,2,4,sqrt,5,0.7713461050020509,0.10825001812893746,29
100,2,4,log2,15,0.86078922210588,0.12113726254418049,20
50,5,2,sqrt,10,0.8607911825522884,0.11296508203227416,19
50,10,4,sqrt,,0.8610224763257683,0.10511058021067315,16
100,10,1,log2,15,0.886069752014282,0.10256019586153527,6
100,10,4,sqrt,10,0.8487378384144365,0.11585164841960387,23
100,10,4,sqrt,5,0.7857733660520655,0.1089613148686258,25
200,5,4,log2,10,0.8552706578494825,0.11616785723932888,21
200,2,2,log2,15,0.8844728542068241,0.10638876558660491,8
200,10,4,log2,15,0.8668346454789967,0.10895405460632043,15
100,10,2,sqrt,5,0.7917292282157146,0.10090043752805582,24
50,2,4,log2,5,0.7713461050020509,0.10825001812893746,29
100,2,2,log2,,0.8815871411651389,0.11359950232817513,9
