kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
rbf,5.0,2000,0.1,0.5897930076012268,
knn,,2000,0.2,0.5846272123180147,3.0
knn,,2000,0.1,0.5846272123180147,3.0
rbf,10.0,2000,0.5,0.5842554196895381,
rbf,5.0,2000,0.3,0.5830093084260654,
rbf,5.0,2000,0.2,0.5829341960311689,
rbf,30.0,2000,0.1,0.5822352938621533,
rbf,50.0,2000,0.2,0.5822352938621533,
rbf,50.0,2000,0.1,0.5822352938621533,
rbf,50.0,2000,0.3,0.5822352938621533,
rbf,30.0,2000,0.2,0.5766416123863292,
rbf,30.0,2000,0.3,0.5766416123863292,
rbf,30.0,2000,0.5,0.5766416123863292,
rbf,50.0,2000,0.5,0.5766416123863292,
rbf,5.0,2000,0.5,0.5749198717948718,
knn,,2000,0.3,0.5742277763346622,3.0
rbf,10.0,2000,0.3,0.5740811013092995,
rbf,10.0,2000,0.2,0.5740811013092995,
rbf,20.0,2000,0.5,0.5727183762080786,
rbf,20.0,2000,0.2,0.571817267306958,
rbf,20.0,2000,0.1,0.571817267306958,
knn,,2000,0.5,0.5683981588586852,3.0
rbf,10.0,2000,0.1,0.5679539438663526,
rbf,20.0,2000,0.3,0.5640587729195324,
knn,,2000,0.1,0.5482113868841558,7.0
knn,,2000,0.2,0.5482113868841558,7.0
knn,,2000,0.3,0.5482113868841558,7.0
knn,,2000,0.5,0.5411306781542715,7.0
knn,,2000,0.1,0.5305311836735732,10.0
knn,,2000,0.2,0.5293812569340738,10.0
knn,,2000,0.3,0.5293812569340738,10.0
knn,,2000,0.5,0.5222717975754413,10.0
knn,,2000,0.3,0.5054634607310192,5.0
knn,,2000,0.5,0.5007413560630857,5.0
knn,,2000,0.1,0.49756498269084076,5.0
knn,,2000,0.2,0.49756498269084076,5.0
