param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8462923025370227,0.150573257536091,10
50,10,4,log2,,0.8267746040149294,0.1637063168622374,21
50,5,1,log2,15,0.8480347489455587,0.1502948624578775,5
50,10,2,sqrt,,0.8377144171870051,0.15495665246618154,15
50,10,2,sqrt,5,0.7680925463543543,0.14081931735295475,28
50,5,1,sqrt,15,0.8480347489455587,0.1502948624578775,5
200,2,4,sqrt,,0.836192862487875,0.15368847941430938,17
100,2,4,sqrt,10,0.8317754080282794,0.15996375124689155,20
100,10,2,log2,,0.8459479681763051,0.14963381217030608,11
100,5,1,log2,15,0.8487510970380391,0.15384634282174697,4
50,10,4,log2,15,0.8259997898330583,0.16319944037470163,23
50,5,1,log2,5,0.7759660624667711,0.13339056810468697,24
100,2,1,log2,,0.850472775132045,0.15615562448224457,1
50,2,2,sqrt,5,0.77575054352378,0.13548577513996415,25
100,5,2,sqrt,10,0.8468169172633745,0.14840784087964562,7
200,5,2,sqrt,,0.8464471260146302,0.14878104941075504,9
100,2,2,sqrt,,0.849590507909558,0.15281657539441793,2
50,2,4,sqrt,5,0.7705929217217063,0.14222878100433906,26
100,2,4,log2,15,0.8349149702716376,0.15707492523045585,19
50,5,2,sqrt,10,0.8404484188257682,0.15105746305406664,13
50,10,4,sqrt,,0.8267746040149294,0.1637063168622374,21
100,10,1,log2,15,0.8466344694042734,0.15488230039908543,8
100,10,4,sqrt,10,0.8355489506320399,0.15632520158977029,18
100,10,4,sqrt,5,0.7676344382317262,0.14496526874354887,29
200,5,4,log2,10,0.8369585443869637,0.15578538669598946,16
200,2,2,log2,15,0.8451733239180407,0.15065726368957225,12
200,10,4,log2,15,0.838271655479466,0.15387126668017753,14
100,10,2,sqrt,5,0.7672206783038172,0.14599264773912665,30
50,2,4,log2,5,0.7705929217217063,0.14222878100433906,26
100,2,2,log2,,0.849590507909558,0.15281657539441793,2
