param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.843300286343038,0.15508088543679754,9
50,10,4,log2,,0.8301867167736035,0.1511283658486889,21
50,5,1,log2,15,0.8405093892875258,0.15688950048113462,12
50,10,2,sqrt,,0.8438299200587732,0.14906888668065887,7
50,10,2,sqrt,5,0.781521679146841,0.14611200029431531,26
50,5,1,sqrt,15,0.8405093892875258,0.15688950048113462,12
200,2,4,sqrt,,0.8347159301994264,0.1525530605813665,17
100,2,4,sqrt,10,0.8338021621821143,0.14569919193993797,18
100,10,2,log2,,0.84517668742141,0.1487367931073557,3
100,5,1,log2,15,0.8427569910713721,0.1512848245158269,11
50,10,4,log2,15,0.8323561319175695,0.15230124617764132,19
50,5,1,log2,5,0.791422885758708,0.1460674965036699,24
100,2,1,log2,,0.8499052200172303,0.14491612563815576,1
50,2,2,sqrt,5,0.7867846078020557,0.14543704405240762,25
100,5,2,sqrt,10,0.8401826217277124,0.1476206314578448,15
200,5,2,sqrt,,0.8451162685425633,0.1538477337348887,4
100,2,2,sqrt,,0.8444581264877006,0.14556439881937064,5
50,2,4,sqrt,5,0.7723895454470044,0.13882011754445045,29
100,2,4,log2,15,0.8404731345029431,0.1459322850432124,14
50,5,2,sqrt,10,0.8427997794334288,0.1505645095481859,10
50,10,4,sqrt,,0.8301867167736035,0.1511283658486889,21
100,10,1,log2,15,0.8436708169986732,0.14587889246210495,8
100,10,4,sqrt,10,0.8320598854308144,0.1480438557428881,20
100,10,4,sqrt,5,0.7790410662185585,0.13862239596364404,28
200,5,4,log2,10,0.8348097011548311,0.14395428469507882,16
200,2,2,log2,15,0.8462392750127169,0.14734341121870873,2
200,10,4,log2,15,0.8291648827776394,0.15648353915057328,23
100,10,2,sqrt,5,0.7809732263126885,0.14232790547881655,27
50,2,4,log2,5,0.7723895454470044,0.13882011754445045,29
100,2,2,log2,,0.8444581264877006,0.14556439881937064,5
