param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,mean_test_score,std_test_score,rank_test_score
50,5,2,log2,,0.8471041459704503,0.18484578765764204,10
50,10,4,log2,,0.8374222815511924,0.18422628046610026,21
50,5,1,log2,15,0.853685005424429,0.18477245781851276,2
50,10,2,sqrt,,0.8447516398311712,0.18337010853219027,12
50,10,2,sqrt,5,0.7915799908884158,0.17651603671015184,30
50,5,1,sqrt,15,0.853685005424429,0.18477245781851276,2
200,2,4,sqrt,,0.8433479958996006,0.1867439708365732,16
100,2,4,sqrt,10,0.8434131802330569,0.1865422264357557,15
100,10,2,log2,,0.8480382239915712,0.1816838492118927,7
100,5,1,log2,15,0.8519065189553059,0.18728750215775253,4
50,10,4,log2,15,0.8374044959614363,0.184214682390038,23
50,5,1,log2,5,0.8004030850685169,0.18725305553370694,26
100,2,1,log2,,0.8540968049200832,0.18732033800884437,1
50,2,2,sqrt,5,0.7962619295728768,0.18858032367383765,28
100,5,2,sqrt,10,0.8441637047146066,0.18549613769761883,13
200,5,2,sqrt,,0.846217417026767,0.18743787713538726,11
100,2,2,sqrt,,0.8477337490940124,0.18693511129760687,8
50,2,4,sqrt,5,0.8021525278914146,0.17564101595516596,24
100,2,4,log2,15,0.841333129426725,0.18803155027306712,20
50,5,2,sqrt,10,0.8440406503423842,0.18249391644509122,14
50,10,4,sqrt,,0.8374222815511924,0.18422628046610026,21
100,10,1,log2,15,0.848928197160345,0.18203020411121593,5
100,10,4,sqrt,10,0.8417433158511359,0.18262587818407472,19
100,10,4,sqrt,5,0.7977610223042934,0.17614984453107613,27
200,5,4,log2,10,0.8432758445207288,0.18991763294445302,17
200,2,2,log2,15,0.8484419291454449,0.18742507296269606,6
200,10,4,log2,15,0.8419913744208959,0.18557098410798628,18
100,10,2,sqrt,5,0.7939589662444595,0.17855092244306564,29
50,2,4,log2,5,0.8021525278914146,0.17564101595516596,24
100,2,2,log2,,0.8477337490940124,0.18693511129760687,8
